,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,2009,Y,005930,1389937,400486,115777,4578,5465,5465,102034,105277,14005,125651,23351,0,102299,96495,5804,1182815,620692,99811,250321,108359,562123,398160,8913,452272,377191,76135,241333,75081,730543,668277,8975,66521,642612,62266,196558,102299,150228,109113,2481,25649,-30320,0,-144241,47700,191941,81822,0,-39483,18254,49026,-8712,20213,88146,108359
1,2009,Y,000660,79064,16265,1920,505,4507,4336,11622,13252,4,-3708,-382,0,-3326,-3478,151,163035,49171,10573,19724,12091,113864,101430,4620,103843,57692,14188,22321,46150,59193,54524,29658,13035,10059,4669,13404,-3326,36077,26542,1415,10411,-8936,0,-10044,3155,13199,10126,0,3545,13028,9483,0,6822,5269,12091
2,2009,Y,207940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2009,Y,035420,15979,9138,5790,286,195,93,163,248,-158,5640,1414,0,4226,4210,16,16054,10390,0,1882,5240,5664,2959,630,5105,4545,223,2085,559,10949,9835,241,1941,13079,1115,5208,4226,1371,510,184,120,-268,0,-3624,2569,6193,1257,0,-525,530,1055,0,947,4293,5240
4,2009,Y,051910,157597,32671,22332,584,1654,669,4559,5140,-130,20550,4886,-332,15332,15071,260,99779,48476,16288,19109,11074,51303,49353,-667,43198,34681,7772,18753,8518,56580,54843,3695,11875,43347,1737,24271,15332,9214,5865,223,1527,1252,-19714,-10361,2297,12658,10762,0,-5608,6390,9906,-2092,5931,5143,11074
5,2009,Y,005380,914631,204080,56202,7508,21138,13674,24171,21495,10329,55578,15173,0,40434,29735,10700,1023249,367864,116952,77263,86596,398229,288212,37082,733633,432548,129490,169107,299088,289617,0,14890,57935,146177,72995,139588,40434,69946,26686,9139,19276,48483,0,-71652,68314,139966,37626,0,-42506,228702,268440,-2769,24413,62182,86596
6,2009,Y,068270,1456,940,718,18,47,25,27,46,-5,664,79,1,585,585,0,5592,869,174,322,161,4723,3679,693,2735,1398,970,108,1338,2857,2857,540,1901,648,0,450,585,214,94,27,64,-285,0,-575,166,741,269,0,312,2248,1935,0,187,3,190
7,2009,Y,006400,49504,7240,1072,634,561,362,3155,3545,1462,2218,71,0,2147,2180,-33,73857,30150,3675,6297,15098,43707,18838,797,21149,15197,777,8700,5952,52708,49871,2407,13311,28915,2837,7198,2147,6016,4701,63,2120,1156,0,-2408,3009,5417,2683,0,474,3378,2529,-375,5007,10091,15098
8,2009,Y,012330,172304,32410,16944,987,1135,779,2913,3315,4342,20736,4999,1,15712,15673,39,142013,61123,12695,36358,11115,80890,25236,8984,64427,53895,15921,33634,10531,77586,77467,4911,13420,58985,120,6496,15712,6289,2407,1542,5087,-10418,0,-15663,2640,18303,3561,0,6205,16462,9392,-865,-3530,14645,11115
9,2009,Y,028260,17265,2076,1686,180,97,79,157,49,41,1918,421,0,1497,1497,0,39304,5345,400,2521,1264,33958,14620,7,16145,3866,0,2147,12279,23159,23159,125,2749,11956,0,1598,1497,711,562,0,191,-418,0,-638,1610,2249,738,0,-365,259,624,0,595,670,1264
