,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,201503,CY,005930,1996485,744639,225156,92092,82776,6173,22558,16260,3676,244447,39989,0,204457,201171,3286,9141430,4577475,735861,1088232,692984,4563954,3159212,190291,2554543,2042616,349312,1175275,511928,6586887,6353136,35900,176156,6650691,233751,298845,204457,282306,174693,11970,52018,-79980,-55920,-213775,109413,323187,238654,0,-69403,10783,57865,-22322,2456,690528,692984
1,201503,CY,000660,182012,83200,56408,7475,8224,1430,6172,5312,285,56803,9918,0,46885,46886,-3,1009141,355507,59318,134526,17479,653635,560372,51989,328518,203184,24149,114145,125335,680623,680635,145633,160154,380788,-12,71939,46885,51231,33756,1861,1720,-17960,-6498,-64015,8129,72144,51982,0,-7688,33845,41534,0,223,17256,17479
2,201503,CY,207940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,201503,CY,035420,28611,28611,7604,876,1413,56,407,535,-12,6926,2654,301,4574,4601,-27,133853,76567,356,17308,29768,57287,35287,5426,60669,39714,8560,18789,20953,73185,73093,660,5322,100158,91,8078,4574,6345,1357,119,1089,668,-2422,-4057,1451,5507,2566,0,73,5738,5446,-219,4067,25701,29768
4,201503,CY,051910,218200,30353,13105,1383,1770,757,3868,5340,55,11300,3158,0,8141,8226,-84,722011,329102,104037,135518,49006,392908,344281,20441,237801,195657,71387,93294,42143,484210,479453,14780,46312,423321,4757,27887,0,15706,11451,349,976,6121,-4266,-20502,10906,31408,15588,0,-8569,2166,7735,-2998,-998,50004,49006
5,201503,CY,005380,885500,186839,71996,10136,6911,2879,11480,14473,23563,95791,19745,0,76047,73269,2776,5744517,1672658,307475,309386,282631,2363663,896281,142689,3275233,1314937,222315,586447,1960296,2469285,2270650,59560,165335,2155349,198634,11071,76047,108688,18557,6942,27213,-133857,-12593,-57718,127951,185670,50126,0,34732,208892,168291,-5869,-19011,301642,282631
6,201503,CY,068270,4818,3477,2067,114,553,301,69,544,-3,1148,262,0,887,841,45,92810,32062,9520,17360,3838,60746,35547,23539,39900,24213,10734,3078,15687,52910,48858,4193,14779,33219,4052,1708,887,2244,294,479,162,-1038,-221,-1254,412,1692,405,26,229,3038,2450,-360,689,3150,3838
7,201503,CY,006400,62044,11461,1165,2090,1970,448,2386,3189,1760,2242,485,-2325,-566,-633,67,590504,128015,28667,36261,27110,462489,118084,39859,157072,84369,21718,45698,72702,433432,424556,13108,164877,197543,8877,5099,-566,10575,4844,1101,5218,999,-691,-6499,1708,8209,5664,0,-373,2843,2387,-830,-1881,28992,27110
8,201503,CY,012330,352761,51348,31100,3582,2618,321,2431,2910,14726,46310,12564,-857,32889,33169,-281,1513406,665230,93221,228141,147232,833209,176173,38460,602414,295103,53636,207265,136412,910992,905959,19644,55344,863214,5034,14337,32889,26906,4408,622,19478,-21937,-4042,-6333,16810,23143,19763,0,-1370,2594,2069,-1896,6519,140712,147232
9,201503,CY,028260,52488,16232,2041,473,646,645,588,574,-388,1496,663,-2,833,839,-6,351392,67329,20546,34106,7644,284063,85485,10554,164137,43839,7273,20343,120297,187256,187165,520,12540,98891,91,905,833,3927,1390,103,883,-1719,-1250,-3738,1335,5074,1628,0,2666,1186,-1479,0,-157,7801,7644
