,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,2012,Y,005930,2011036,744517,290493,78366,79345,5990,15530,15760,9866,299150,60697,0,238453,231854,6599,1810716,872690,177474,266746,187915,938026,684847,37297,595914,469331,84438,273509,126583,1214802,1170941,8975,44039,1199857,43862,379728,238453,261753,148350,7870,34158,-57779,-28541,-313216,8529,321744,229653,0,-18645,19507,25501,-12651,40997,146918,187915
1,2012,Y,000660,101622,16112,-2273,6897,6826,3179,671,629,167,-1993,-405,0,-1588,-1589,1,186487,53136,15093,18428,6584,133351,115862,9836,89093,44412,10206,13558,44681,97394,97402,34884,30539,33133,-7,22117,0,36902,30579,1457,3082,-7618,-2092,-46984,28171,75155,37729,0,19171,92948,73777,0,-5854,12438,6584
2,2012,Y,207940,0,0,-397,66,1,0,4,0,0,-329,21,0,-350,-350,0,5387,763,3,6,578,4624,2501,47,786,733,442,291,53,4602,4602,514,4524,-429,0,-534,-350,41,9,4,65,-197,36,-2873,756,3629,1534,0,3945,3945,0,0,539,39,578
3,2012,Y,035420,17987,17987,5212,732,100,65,63,423,1,5485,1479,1438,5444,5461,-16,29273,17389,0,2743,3954,11884,5656,1216,10237,6454,27,3198,3784,19036,18964,241,1958,26678,72,5955,5444,4121,888,182,1239,-954,-1417,-6900,7571,14471,2804,0,239,2476,2001,-236,-708,4663,3954
4,2012,Y,051910,232630,33079,19103,1000,1539,730,3719,3602,124,18805,3742,0,15063,14945,119,165812,74529,26279,32612,7208,91282,83482,2339,58158,43380,16667,23347,14778,107654,106293,3695,11578,92047,1361,17657,0,10684,8545,190,1593,-5192,-5047,-26546,1901,28447,19074,0,2461,10139,4517,-3162,-6586,13794,7208
5,2012,Y,005380,844697,195024,84406,9697,6245,4267,12314,9883,25816,116104,25493,0,90611,85666,4946,1215378,339801,67729,63949,67593,480635,207399,28832,736202,328357,59021,145721,407845,479176,440391,14890,41590,399932,38785,53397,90611,99123,17008,8231,27937,-83116,-25284,-71991,8624,80615,30000,0,25728,237260,206298,-5234,5274,62319,67593
6,2012,Y,068270,3502,2563,1954,83,169,168,60,52,-1,1876,131,0,1744,1744,0,17329,5772,780,3749,532,11557,7406,3762,6828,4166,2412,578,2662,10501,10501,873,3657,6484,0,210,1744,729,278,89,130,-1882,-252,-1463,211,1694,113,19,1294,3951,2258,-398,39,493,532
7,2012,Y,006400,57712,9078,1869,697,1009,245,18227,4527,5038,20294,5426,0,14868,14715,153,108951,24149,5585,7474,9465,84802,19711,1710,33306,20040,5938,11938,13266,75645,73732,2407,12584,49865,1913,5778,14868,14912,4237,308,23238,-79,-684,-5113,738,5851,4597,0,1128,9609,7718,-764,1889,7577,9465
8,2012,Y,012330,307890,45442,29064,3040,1476,483,2162,2384,15667,46073,10653,0,35420,35585,-165,300470,137934,19684,52885,27962,160956,37139,10469,130073,70663,16587,46231,24642,170397,169044,4911,13840,156271,1353,31135,35420,21651,3502,1082,18960,-3867,-3111,-20143,11955,32098,8584,0,-2954,5833,7084,-1702,7370,20592,27962
9,2012,Y,028260,27026,4341,692,847,229,220,61,204,-85,1083,204,527,1406,1409,-3,66423,7294,414,6222,346,59129,17442,1594,28371,10633,5600,4232,17738,38052,38043,125,517,19913,9,-189,1406,1506,0,0,0,-2628,-473,-4500,618,5118,2658,0,2628,7844,5216,0,-2062,2408,346
10,2012,Y,051900,38962,19930,4455,173,348,330,193,220,50,4303,1183,0,3120,3039,81,27641,7919,3167,3865,652,19723,10071,8406,14925,9399,1158,4454,5527,12716,12016,886,973,11205,700,2380,3120,2928,1002,84,260,-2198,-1210,-3697,317,4013,1677,0,1088,2694,1019,-587,-266,918,652
11,2012,Y,017670,161414,161414,17300,4446,6383,4124,1959,1883,-246,15194,2882,-1155,11157,11517,-360,255956,52944,2421,25457,9201,203011,97127,44341,127408,61749,6002,36730,65659,128548,118548,446,29159,121247,10000,39997,11157,39014,26130,0,6115,2043,-6102,-53096,18312,71408,33943,0,5853,42453,30049,-6551,-7307,16508,9201
12,2012,Y,005490,636042,74613,36531,28971,27976,8715,4481,8095,-227,33685,9829,0,23856,24621,-765,792659,315661,105846,127191,46805,476997,322764,56624,368364,197750,77107,68992,170614,424294,394541,4824,11048,403465,29753,73195,23856,59716,24058,1580,18025,19334,-11686,-61690,64706,126396,70545,0,-9076,31406,32963,-7519,818,45987,46805
13,2012,Y,035720,4534,4534,1018,143,57,0,7,85,-17,1009,197,-45,766,763,4,6119,3475,0,691,1204,2643,1012,739,919,766,1,384,154,5199,5153,68,1816,3202,46,1233,766,820,227,131,141,-40,-173,-513,2195,2708,368,0,-322,36,143,-216,395,810,1204
14,2012,Y,000270,472429,107069,35223,4028,2111,1568,4173,3813,14141,51641,12994,0,38647,38647,0,323983,111394,42230,24651,19033,212589,97212,15240,155503,100002,11098,76367,55500,168481,168481,21393,17361,126630,0,43454,38647,38908,7521,3117,17814,-8202,-8085,-28426,2978,31404,15746,0,-18101,5207,20886,-2422,-4009,23042,19033
