,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,200709,CY,005930,613887,163688,62122,2964,3324,510,11685,7143,21621,87924,12435,0,75489,75489,0,2354464,536982,129826,119429,55021,1817483,1181118,21654,496829,373107,0,318193,123723,1857636,1857636,35900,254590,1849497,0,122966,75489,79121,66473,1446,19712,-11933,0,-95402,35797,131199,88417,0,-25229,1205,18254,-8181,2336,52685,55021
1,200709,CY,000660,93563,26086,15742,899,2332,1537,4424,2325,36,16444,-1657,0,18101,18101,0,561524,157017,25334,49808,50184,404508,304556,22030,200978,97899,3428,78827,103079,360548,360548,92537,31483,241875,0,33638,18101,20434,16026,526,4324,-573,0,-39790,1356,41146,32935,0,3376,13772,10397,0,-2776,52960,50184
2,200709,CY,207940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,200709,CY,035420,8225,5284,3475,50,19,14,29,97,40,3479,1043,0,2436,2436,0,23472,12016,0,4775,5326,11456,4237,747,9075,7756,950,3618,1321,14397,14397,949,5782,14962,0,3572,2436,891,219,54,218,462,0,-1293,3065,4358,528,0,-1251,3209,4460,0,1029,4299,5327
4,200709,CY,051910,102097,16820,6547,93,1320,800,1225,966,1861,7440,912,-78,6448,6448,0,240701,83103,35769,39722,5755,157598,123148,-7982,126731,77375,1872,54030,49355,113971,113971,14616,29584,71515,0,7671,6448,6624,4614,287,2572,-2831,0,-5304,271,5576,4804,0,-2802,3842,5916,-729,-436,6192,5755
5,200709,CY,005380,295292,55160,16773,3399,3617,1510,5035,3357,4337,22569,3754,0,18816,18816,0,1097876,331459,54575,88898,44485,766418,379872,45699,425463,250200,17925,181949,175262,672412,672412,59396,216404,421452,0,28213,18816,25801,8056,3559,7353,-9049,0,-32672,42205,74878,10790,0,1961,61468,56754,-2754,-2497,46983,44485
6,200709,CY,068270,466,79,27,2,8,8,3,2,0,22,2,0,20,20,0,1791,985,89,668,45,806,747,0,811,486,271,178,326,979,979,120,402,486,0,28,20,37,31,0,1,-29,0,-43,122,165,63,0,3,241,236,-3,-14,59,45
7,200709,CY,006400,37941,2894,-3797,439,127,0,841,1411,404,-3648,-142,0,-3506,-3506,0,257177,51507,13985,18075,16311,205670,113781,2392,67815,37698,0,33225,30116,189364,189364,9628,51045,123810,0,1980,-3506,6808,4447,72,1197,-127,0,-8136,1437,9571,8447,0,3445,9672,5963,-264,-2710,19021,16311
8,200709,CY,012330,83178,15786,8205,584,560,219,439,558,3023,11133,3413,0,7719,7719,0,252750,104801,17780,52889,29140,147949,39978,4689,100396,72225,0,55450,28170,152355,152355,17492,11289,125790,0,4109,7719,1892,634,334,3269,-2234,0,58,4067,4008,1436,0,-3520,1017,3469,-1068,648,28493,29140
9,200709,CY,028260,14261,1764,1488,203,165,165,69,76,40,1560,427,0,1133,1133,0,144753,16152,981,7165,2681,128601,52383,37,70850,15690,122,7384,55159,73903,73903,500,10996,31867,0,1476,1133,691,417,0,90,-258,0,-108,2971,3079,575,0,-543,14144,14688,0,825,1857,2681
10,200709,CY,051900,11190,6114,1207,12,41,39,139,106,6,1216,387,0,829,829,0,26315,11200,2968,6844,345,15113,11710,645,12721,11514,3070,7544,1207,13593,13593,3544,3892,9066,0,1221,829,447,234,41,164,109,0,-184,206,389,210,0,-1037,-7695,-7015,-355,0,345,345
11,200709,CY,017670,111297,111297,23997,5297,2736,2214,962,2395,330,25453,6897,0,18557,18557,0,655645,162328,738,109266,11479,493315,176948,131529,256929,118453,0,65559,138477,398714,398714,1784,118422,325527,0,35921,18557,23092,17998,0,7528,1798,0,-26259,2493,28752,18821,0,-9292,6481,9960,-5813,369,11110,11479
12,200709,CY,005490,221821,58356,45296,2320,1131,980,1801,3421,5655,50519,11500,0,39019,39019,0,1116514,320767,118196,79176,21854,795747,506317,8840,211967,85990,4524,45387,125978,904547,904547,19296,159422,794333,0,50186,39019,21318,16709,0,7491,-2658,0,-38105,108914,147018,22151,0,-14865,12122,20435,-6551,-2784,24637,21854
13,200709,CY,035720,2004,1821,449,39,56,51,13,41,-97,307,20,0,288,288,0,9296,3395,0,2228,806,5900,1896,486,5353,3863,373,1305,1490,3942,3942,254,4491,-715,0,442,288,404,148,41,83,-165,0,-64,225,288,144,0,-214,305,519,0,164,642,806
14,200709,CY,000270,163455,23287,-2082,1377,3208,1969,2634,2271,2698,-850,-605,0,-245,-245,0,487028,121406,37778,50998,19017,365623,209744,30570,277231,148272,31974,90399,128959,209797,209797,73948,68152,73073,0,-2433,-245,15420,4613,2314,4507,-13102,0,-6369,5017,11386,6473,0,10040,15977,5936,0,1237,17780,19017
15,200709,CY,015760,283355,22024,10202,816,5750,5617,5292,1250,18321,27628,5865,0,21766,21766,0,2574474,158912,7676,114806,7732,2415562,1228506,7847,833342,293570,7480,99063,539773,1741131,1741131,128312,580611,1061305,0,28770,21766,24184,17607,672,13225,-3956,0,-25222,16650,41872,39643,0,-6299,41923,42018,-6206,-2752,10484,7732
16,200709,CY,036570,2189,1841,433,138,1,0,38,28,48,629,94,0,535,535,0,19133,12428,0,1008,653,6707,3706,98,1741,1491,0,967,250,17393,17393,408,5842,12389,0,643,535,237,91,8,113,-17,0,-534,148,682,457,0,-90,29,120,0,18,635,653
17,200709,CY,034730,11553,4541,816,86,259,256,22,56,2234,2842,820,0,2022,2022,0,64479,17077,74,8767,6016,47402,9020,164,37470,20922,7110,6729,16547,27010,27010,400,108,32624,0,1073,2021,515,304,2,2279,817,0,-1413,-895,519,295,0,2087,-7395,-9525,-42,1749,4267,6016
18,200709,CY,018260,21180,4978,2515,461,14,5,97,133,152,3078,818,0,2260,2260,0,50278,33746,159,14636,8845,16534,6379,731,18568,15459,0,10652,3109,31712,31712,1128,92,29842,0,2506,2260,963,431,65,329,-387,0,-3320,504,3824,1792,0,-283,0,170,-113,-1097,9942,8845
19,200709,CY,003550,8037,7611,6440,36,96,92,729,0,0,7110,-66,0,7175,7175,0,190719,2288,0,1308,876,188431,9084,-16809,15506,7455,1130,2368,8053,175213,175213,35176,64200,81085,0,1465,7175,771,36,8,6817,336,0,-980,34,1013,903,0,-884,4083,4090,-877,-400,1275,876
20,200709,CY,033780,23847,13915,7996,364,30,1,1403,1006,995,9722,2410,0,7313,7313,0,164335,75159,37280,12593,17397,89175,54158,78,45593,34058,0,29085,11535,118742,118742,38200,14503,77322,0,7785,7313,2452,1327,7,2029,50,0,-4884,703,5587,2598,0,-5241,2339,4383,-3197,-2340,19737,17397
21,200709,CY,096770,66578,7319,4184,722,1398,615,1114,1058,955,4519,1203,0,3316,3316,0,148032,60767,26761,25391,4999,87266,47741,150,85464,54998,11129,40062,30467,62568,62568,4631,54455,3316,0,3226,3316,1845,1060,4,1546,-388,0,-1261,1099,2360,1180,0,-753,28447,29200,0,1213,3787,4999
22,200709,CY,066570,231474,50715,3674,1069,4338,1254,3670,2772,6485,7788,1287,0,6502,6502,0,537119,132508,43002,54648,17931,404613,166351,17035,292445,195779,3042,159197,96665,244675,244675,32368,88800,101090,0,8447,6502,18545,5992,1187,9181,-7418,0,-6742,2655,9397,6144,0,-5297,11037,15118,-1217,-3593,21524,17931
