,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,201409,CY,005930,2127524,818718,280479,71272,63148,5650,47607,21487,604,315329,61839,0,253488,250163,3325,8958372,4596173,759322,1086006,684968,4362199,3036212,170059,2672783,2087074,327681,1161074,585710,6285589,6058599,35900,176156,6270376,226991,418451,253488,289845,164761,10947,71292,-6583,-47007,-407271,42254,449525,225588,0,4978,52570,25627,-21965,4893,680075,684968
1,201409,CY,000660,153454,65960,42272,5700,7818,1986,3573,4180,219,39766,6162,0,33603,33598,4,895009,293731,53094,102795,19207,601280,517835,46963,316814,164341,19747,90904,152474,578196,578210,143851,145402,296544,-16,63643,54441,47192,31432,1765,2150,-10714,-2718,-58830,182713,241543,47998,0,-6994,32685,39679,0,-2231,21439,19207
2,201409,CY,207940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,201409,CY,035420,26528,26528,7186,682,1357,62,63,1504,-1,5069,1692,386,3761,3777,-16,119955,64321,0,16097,22829,55636,33433,5229,53273,34686,4934,16914,18586,66683,66553,660,5318,115438,130,6321,3761,5253,1289,129,1174,619,-2141,-4659,6383,11041,4084,0,1819,4143,2104,-219,3448,19382,22829
4,201409,CY,051910,228461,30320,13956,1370,1819,787,3140,4960,52,11738,2522,0,9215,9345,-130,716605,335694,107369,139101,54115,380910,340005,15193,243115,198233,72640,91883,44882,473490,468751,14780,46312,413428,4738,19866,0,14732,10917,289,1401,-1533,-3671,-20507,8069,28577,13552,0,-1585,5192,3781,-2998,-2359,56473,54115
5,201409,CY,005380,876197,189610,77047,8979,5312,3165,10051,11259,28137,107642,26414,0,81229,77453,3775,5502965,1612105,296805,283041,299401,2238318,859960,128812,3145615,1243462,193079,589168,1902153,2357350,2164812,59560,165257,2031292,192538,16569,81229,109840,18375,7137,31632,-126378,-16490,-72281,9580,81863,37522,0,66900,179959,106413,-6644,7889,291512,299401
6,201409,CY,068270,3739,2638,1486,183,411,89,237,256,-4,1234,223,0,1013,976,36,87169,28113,8536,15278,2870,59056,33468,21890,38216,21336,10496,3309,16880,48954,45943,4109,15046,31333,3010,1844,1013,1638,308,403,340,-240,-224,-1460,440,1933,234,33,-313,1469,1481,-302,82,2787,2870
7,201409,CY,006400,31809,6081,-250,2298,2196,350,2024,499,1623,3000,691,-3728,-1416,-1508,91,481530,96765,23956,31352,30019,384764,86645,18106,133491,67504,17095,41467,65985,348039,341088,10788,89371,200839,6952,837,-1416,8862,4040,615,4271,-1787,-551,1454,8282,6830,4155,0,-473,59,-448,-980,1624,28396,30019
8,201409,CY,012330,355416,50969,30606,3214,2129,336,1896,2297,15186,46475,11575,0,34900,35120,-220,1423591,637536,91854,219481,136356,775279,156836,38811,572775,283636,56065,199687,132923,850816,846423,19644,55352,803009,4394,14011,34900,23960,4239,1329,19588,-22788,-2472,2690,8500,5810,9678,0,-3984,1581,3669,-1896,12143,124214,136356
9,201409,CY,028260,44468,13273,1145,436,621,621,204,735,-430,0,283,4138,3856,3861,-5,341260,65010,18798,35053,6271,276250,85458,9844,172215,54690,17512,22013,117524,169046,168945,500,2068,93718,102,1857,3856,4236,344,0,4609,-421,-1204,-9767,5966,15734,1851,0,7642,55491,47850,0,-275,6546,6271
