,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,2017,Y,005930,2395754,1102847,536450,97374,89789,6554,30107,14196,2014,561960,140092,0,421867,413446,8422,3017521,1469825,249834,318050,305451,1547696,1116656,147605,872607,671751,157676,377734,200855,2144914,2072134,8975,44039,2158112,72780,621620,421867,413191,205936,15238,51079,-106205,-56154,-493852,47434,541286,427922,0,-125609,37347,94912,-68043,-15663,321114,305451
1,2017,Y,000660,301094,174076,137213,9965,12496,1239,779,1189,124,134396,27973,0,106422,106415,7,454185,173104,26404,55875,29500,281080,240626,22473,115975,81161,1927,48642,34814,338209,338153,36577,41437,272873,56,146906,106422,83829,46189,4074,4618,-31901,-6826,-119192,9346,128538,91283,0,-3519,7823,7106,-4236,23362,6138,29500
2,2017,Y,207940,4646,1318,660,232,763,57,9,1,-1296,-1160,-190,0,-970,-970,0,71831,6210,2100,258,3581,65621,15133,190,32066,22874,400,1608,9192,39765,39765,1654,24873,13277,0,1498,-970,2728,642,57,414,218,-65,2652,22700,20048,4941,0,-2872,1799,4671,0,1278,2303,3581
3,2017,Y,035420,46785,46785,11792,1150,324,6,351,870,-140,11958,4232,-26,7701,7729,-28,80193,47842,362,10250,19076,32350,11500,3395,27141,23027,2110,12458,4113,53052,47623,165,15079,45555,5428,9400,7701,8054,1827,236,1420,-1385,-3549,-13103,4196,17299,4722,0,6362,7998,1310,-326,1813,17262,19076
4,2017,Y,051910,256980,55635,29285,2404,3198,999,4783,7700,66,25639,5419,0,20220,19453,767,250412,112056,33525,46897,22493,138356,112115,18232,87026,66447,9579,42128,20580,163386,161685,3914,22744,140393,1701,31807,0,21138,13053,967,2465,-7148,-5357,-16404,15802,32205,22526,0,-7365,13851,17359,-3857,7750,14744,22493
5,2017,Y,005380,963761,175779,45747,9729,11204,3330,11537,13675,2251,44386,-1079,0,45464,40328,5136,1781995,484397,102799,72031,88215,785917,298271,48093,1034421,431607,98897,167585,602814,747574,691035,14890,42012,673323,56539,39224,45464,135242,22546,12748,7431,-113843,-20208,-47444,5256,52700,30550,0,21812,295840,262641,-11387,9314,78901,88215
6,2017,Y,068270,9491,6946,5078,99,279,145,46,55,25,4915,1053,0,3862,3825,37,33155,16140,1995,8314,4192,17015,8442,8098,8836,6168,3230,1045,2668,24319,23089,1227,7576,14497,1230,4975,3862,2271,415,565,77,-689,-391,-2451,1486,4014,210,78,-963,2311,3051,-223,1508,2684,4192
7,2017,Y,006400,63466,11658,1169,2500,2515,228,1962,1830,6954,8241,1809,0,6432,6572,-140,157417,35846,9666,11291,12090,121571,29303,8974,42897,26641,7681,13259,16256,114520,112573,3567,50427,56006,1947,-2501,6432,8525,3693,906,8239,-8413,-806,893,10976,10083,9915,0,3534,9101,4867,-700,1973,10117,12090
8,2017,Y,012330,351446,44652,20249,2644,2051,501,2144,2494,6851,27344,11767,0,15577,15682,-104,417368,182178,26903,61739,24079,235190,82064,9570,123779,78932,12355,53411,44846,293590,292954,4911,14072,287801,636,19487,15577,24329,6373,726,10345,-4634,-5440,-10655,189,10844,6769,0,-3955,3098,3729,-3325,3586,20493,24079
9,2017,Y,028260,292790,36521,8813,2204,3129,1712,10834,9231,-1240,8250,3439,0,4811,6398,-1587,490489,122914,15330,62051,29932,367575,49859,13115,238977,144583,20933,46917,94393,251513,225568,191,104683,57554,25945,13124,4811,17813,4800,0,10117,-1598,2215,2799,15025,12226,6780,0,-11167,7578,17787,-957,2946,26985,29932
