,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,201806,CY,005930,2470737,1151544,601914,113153,103370,6388,30886,13867,3304,632018,170214,0,461804,456494,5310,12294922,6042236,1058456,1424465,1249993,6252685,4516601,599416,3479247,2672486,542462,1497557,806760,8815674,8522737,35900,176156,8761348,292936,681928,461804,475402,230657,14299,62708,-101098,-91474,-528375,-84311,444064,397507,0,-127099,27526,81433,-73191,23551,1226442,1249993
1,201806,CY,000660,362179,222142,181442,15024,13470,1023,569,1783,162,181944,44694,0,137248,137251,-2,1885312,651965,116687,238726,87384,1233345,1027159,91974,466495,318391,13217,183207,148105,1418816,1418555,146308,165748,1150288,261,167548,137248,109510,51624,5083,7385,-45414,-26413,-169028,48990,218019,129038,0,810,21489,13619,-7060,-1380,88765,87384
2,201806,CY,207940,5502,1759,1048,148,785,63,9,0,-1575,-1156,-76,0,-1080,-1080,0,289943,50467,8597,2558,10999,239477,61368,726,132691,91094,1600,5312,41597,157253,157253,6616,99492,51242,0,1086,-1080,2589,338,30,231,-76,-115,-8543,9200,17743,4444,0,4226,5226,1000,0,-3233,14231,10999
3,201806,CY,035420,51393,51393,11108,1688,754,4,1521,1035,-248,12280,4055,9,8234,8237,-5,325357,184547,1405,39965,78979,140809,47385,12799,110254,91260,10023,33864,18993,215103,192149,660,59970,186572,22952,9893,8234,6137,1004,149,773,191,-3894,-12818,2591,15410,5290,0,1466,4241,2350,-425,-978,79957,78979
4,201806,CY,051910,264348,55923,27588,2376,3422,1012,4510,6743,25,24335,5038,0,19297,18458,839,1025636,468322,142733,196164,92982,557314,451211,73454,365843,251908,44122,153581,113935,659793,652391,15656,90976,564466,7402,21201,0,22468,13124,1057,2230,-15917,-7454,-28173,16208,44380,32943,0,13353,24469,6515,-4601,6218,86764,92982
5,201806,CY,005380,958505,159518,36115,8584,7750,3088,10333,13144,1575,35712,-1982,0,37694,32540,5154,7145878,1899982,429439,288049,350639,3168896,1190132,189376,4157988,1738296,388140,627631,2419693,2987891,2764107,59560,168048,2690645,223782,46175,37694,131309,23036,13582,7367,-97755,-17708,-34284,19554,53839,30940,0,6384,241704,223783,-11538,15307,335331,350639
6,201806,CY,068270,10148,7137,5048,191,277,145,104,301,19,4786,1085,0,3700,3680,21,136976,63701,7698,32891,16231,73275,33700,37215,34315,24473,12295,4679,9842,102661,97201,4958,30349,62580,5459,4273,3700,2420,408,694,89,-1069,-690,-2235,2494,4835,366,106,-782,1539,2111,-211,1209,15022,16231
7,201806,CY,006400,77444,15425,4036,3563,3177,310,1700,1334,3679,8468,2068,0,6400,6153,246,645758,161518,43713,52619,40747,484239,125383,35980,184641,116656,35973,57855,67985,461118,452292,14268,201531,231724,8825,-4255,6400,10127,4232,885,5743,-14547,-492,-1509,10602,12112,11534,0,7552,11644,3396,-694,2025,38722,40747
8,201806,CY,012330,346722,43155,18448,2649,2108,556,2281,2512,5570,24328,11003,0,13324,13454,-129,1685604,743794,108262,253599,107969,941809,328613,37946,496029,325061,53200,212281,170967,1189575,1186721,19644,56087,1161362,2853,18959,13324,24536,6480,744,9102,-5655,-4146,-10800,-1401,9399,5639,0,-4110,3087,3871,-3325,3684,104284,107969
9,201806,CY,028260,306615,38317,10761,2203,2939,1650,12330,7645,-1547,13162,4242,0,8920,10719,-1800,1918228,502942,62923,232082,115992,1415286,199017,52987,927209,568468,76004,210283,358740,991019,887257,764,418732,231458,103763,18640,8920,19232,4690,0,11707,-1529,3725,-6154,6220,12374,6143,0,-8650,7288,12537,-3401,3291,112701,115992
10,201806,CY,051900,62862,35843,9886,46,130,111,286,884,-33,9170,2637,0,6532,6431,102,192965,60989,22835,24561,11719,131977,66021,57319,67699,50106,5948,28575,17592,125267,121995,3544,3892,123367,3271,7921,6532,5074,1323,204,53,-1064,-2567,-3875,229,4103,3450,0,-3418,2930,4697,-1650,641,11077,11719
11,201806,CY,017670,172758,172758,13752,3759,3851,2966,387,3139,29097,40007,9393,0,30613,29975,638,1378237,284957,10350,132293,65868,1093279,389300,217761,614218,261398,2859,168817,352821,764018,756777,1784,116636,756754,7243,42505,30613,49043,32792,0,32810,-336,-4004,-28438,5140,33580,26969,0,-8480,22222,23474,-7229,5585,60282,65868
12,201806,CY,005490,625791,87796,50178,23502,25492,6624,6515,10114,349,44935,13632,0,31303,29648,1655,3194231,1282786,407133,419859,110322,1911444,1275179,230628,1287654,768946,337031,250334,518707,1906579,1757003,19296,56337,1742271,149574,62038,31303,75037,28839,4121,17141,-15963,-11198,-37167,258300,295468,20819,0,-27333,13543,33296,-7579,-2685,113034,110348
13,201806,CY,035720,22044,22044,1204,1196,480,112,554,934,393,1933,980,0,952,759,194,283024,103605,913,8398,55388,179419,10794,148247,78591,50006,9140,13285,28584,204433,183813,1444,166483,16473,20620,3516,0,2700,633,672,1779,1739,-1076,-9461,638,10100,734,0,15236,20003,4677,-89,9261,46128,55388
14,201806,CY,000270,537356,81369,5335,2700,3120,2178,4689,7913,6440,8132,2362,0,5769,5769,0,2123831,898540,340755,139452,94342,1225291,544219,96903,1043175,646355,105388,415713,396819,1080657,1080657,85572,68632,967192,0,44821,5769,53021,12988,6100,7140,-3045,-3786,-33596,5910,39505,17310,0,-14512,15139,26443,-3207,-3030,97372,94342
