,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,2006,Y,005930,854256,257734,90078,5599,5820,2944,22993,19769,5197,98276,16340,0,81937,79261,2676,813662,349889,67534,150008,42220,463773,337846,6584,334263,255229,73608,134982,79035,479399,452644,8975,63646,444637,26755,150806,79261,94194,66962,1766,9320,-13329,0,-110977,50803,161780,117383,0,-38892,39398,69972,-8318,1392,40828,42220
1,2006,Y,000660,77319,30321,20741,691,2052,2029,4820,4939,16,19277,-1263,0,20540,20552,-12,153849,50842,8952,15794,18425,103008,92823,5627,66104,27308,242,21940,38796,87745,85329,23128,6722,58458,2417,32910,20552,20160,14936,504,2516,-5286,0,-45951,727,46678,46226,0,21845,23641,1795,0,8705,9720,18425
2,2006,Y,207940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2006,Y,035420,6451,4029,2338,55,6,1,23,133,-88,2190,683,0,1508,1505,2,5823,3283,0,1165,1212,2539,1136,179,2014,1933,15,1118,80,3809,3735,232,763,2907,74,1858,1505,661,139,39,25,-283,0,-1979,5607,7587,439,0,-314,143,457,0,-458,1670,1212
4,2006,Y,051910,114537,18256,6747,191,1680,1135,2192,1319,31,6162,1560,0,4602,3247,1355,76384,30317,12298,13286,3872,46067,45453,-1688,43607,26399,4385,16139,17208,32778,26154,3654,7842,15890,6623,11414,3247,9981,6480,360,979,-835,0,-9523,950,10473,9540,0,-4286,14947,18323,-910,-2208,6080,3872
5,2006,Y,005380,636480,134098,17967,7475,16281,7646,16875,8685,2921,20271,7159,0,13112,12592,520,707095,245804,98922,57331,37300,312998,234916,26124,497435,309532,116393,122733,186959,209660,0,14849,56800,98098,49959,32263,12592,59779,23170,6612,9965,-30144,0,-73382,78833,152215,38694,0,34327,333031,294887,-3816,-6678,43978,37300
6,2006,Y,068270,439,74,28,1,6,6,3,3,0,23,5,0,19,19,0,407,227,18,148,10,180,171,0,170,112,75,29,59,236,236,30,98,115,0,17,19,41,34,0,0,-43,0,-90,52,143,48,0,62,223,162,0,-12,22,10
7,2006,Y,006400,66501,9582,1305,688,388,167,1706,2454,146,1003,-31,0,1034,907,127,68886,23857,5786,7417,8878,45029,32696,864,21308,15937,2435,10943,5371,47578,46466,2407,12895,32778,1112,9749,907,8199,6118,0,468,1112,0,-11345,2480,13825,12441,0,3078,8440,4704,-657,1503,7375,8878
8,2006,Y,012330,107311,17658,8835,522,1118,603,1224,1051,1999,10411,3469,0,6942,6837,105,78134,38955,8053,18913,8645,39178,16366,1460,41926,32549,4763,21494,9377,36208,34997,4334,2710,28825,1211,8616,6837,2820,1108,326,2628,1587,0,-7077,6488,13565,4198,0,1288,7891,6603,0,2963,5682,8645
9,2006,Y,028260,14534,1750,1500,180,181,181,55,110,47,1490,419,0,1072,1072,0,36083,4289,249,1893,606,31794,13042,10,18209,4286,13,1944,13923,17874,17874,125,2749,7570,0,1115,1072,630,391,0,78,-509,0,-697,4733,5431,749,0,-181,33354,33536,0,236,370,606
10,2006,Y,051900,11015,6030,969,11,47,43,174,265,-14,829,286,0,543,537,6,6266,2503,879,1277,119,3762,3079,229,3031,2743,946,1625,288,3235,3180,886,968,2066,55,1001,537,500,249,60,134,98,0,-140,321,462,234,0,-883,25,730,-178,-22,141,119
11,2006,Y,017670,110280,110280,26211,1445,2822,2391,946,3907,-1657,20216,5720,0,14496,14515,-19,162400,46640,198,31118,4860,115760,45073,35184,67569,32084,583,19538,35485,94831,93128,446,29503,78474,1702,35898,14515,21629,16984,0,1027,781,0,-25352,7142,32493,14981,0,-9524,7534,10430,-6628,1075,3784,4860
12,2006,Y,005490,258423,59456,43891,2869,2259,1833,4152,6272,464,42846,9220,0,33626,33142,485,311491,122370,40182,37683,9363,189121,146431,5571,87473,50823,12387,21532,36650,224017,219125,4824,40353,188633,4892,38996,33142,26595,17339,488,2838,-17902,0,-33795,176685,210480,37094,0,-2267,65211,61113,-6365,2825,6539,9364
13,2006,Y,035720,4737,1676,131,164,83,77,491,354,-82,267,134,0,133,157,-23,3467,1891,0,897,597,1548,531,395,2496,1599,214,747,888,971,829,63,1186,-273,142,267,157,1082,196,176,665,-306,0,394,1116,722,195,0,-202,406,609,0,326,271,597
14,2006,Y,000270,198147,33165,-3652,513,3025,1760,3125,2979,3378,-2639,292,0,-2931,-2908,-23,173429,73108,39624,18467,8847,100322,67389,8157,126789,93669,42356,41167,33120,46640,45218,18487,16017,11786,1422,-5528,-2908,17886,5974,2589,4234,-16273,0,-14630,5012,19642,13446,0,16863,21544,3815,-866,-3486,12333,8847
15,2006,Y,015760,274088,49711,33948,1824,9290,7008,10404,3794,800,33892,11434,0,22458,22256,202,774355,87913,20990,27843,18425,686442,652669,8543,342000,86207,4767,25168,255793,432355,430847,32078,145171,261189,1507,78021,22256,71571,57444,0,5598,-10208,0,-73703,17162,90865,74694,0,172,69868,62317,-7380,4469,13990,18459
16,2006,Y,036570,3387,2560,433,120,0,0,16,28,-40,500,111,0,389,381,9,5065,3734,44,439,494,1331,846,77,852,796,0,421,56,4213,4183,102,1447,2911,30,871,381,428,180,105,1,63,0,-548,53,602,193,0,-134,12,145,0,189,305,494
17,2006,Y,034730,11079,4024,1134,45,234,219,20,65,1793,2692,754,0,1938,1938,0,15378,4010,28,2585,1230,11368,2335,41,9385,5429,1470,2435,3955,5993,5993,100,27,7417,0,2528,1938,578,406,0,1824,1836,0,-2019,211,2230,369,0,-875,400,1242,-33,-365,1595,1230
18,2006,Y,018260,22337,5152,2695,251,56,40,219,142,261,3228,862,0,2366,2219,146,13631,10402,37,4384,3607,3229,1075,169,6242,5392,46,3806,850,7389,7121,282,46,6747,269,3029,2366,1116,538,70,434,-19,0,-1853,533,2386,537,0,-786,41,771,-56,575,3033,3607
19,2006,Y,003550,656416,126077,15580,3437,13245,8548,17247,15355,236,7901,-1434,0,9335,4598,4738,501192,195279,73784,75461,27709,305914,262495,8248,315682,211265,57512,115354,104416,185511,42697,8794,22279,13492,142813,63117,4598,78915,52014,5246,10024,-10372,0,-61125,32077,93202,67784,0,-16447,129630,146077,0,-16271,43981,27709
20,2006,Y,033780,28161,15680,8572,625,66,39,1286,1544,8,8881,2421,0,6460,6489,-29,38571,20489,12998,3809,2019,18082,14627,122,7914,4831,808,2562,3082,30658,30455,9550,3353,20613,202,8730,6489,2613,1326,45,855,483,0,-100,3386,3486,2850,0,-10146,2266,9915,-2497,-1470,3489,2019
21,2006,Y,096770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2006,Y,066570,463399,86557,51,2043,9105,5502,13148,10459,255,-4067,-1869,0,-2198,2339,-4537,333207,140041,57950,49457,21013,193167,163229,6218,224525,157604,50313,86233,66921,108682,61379,8092,27049,25901,47304,37319,2339,55849,35663,1541,9185,-11685,0,-44369,6672,51041,44770,0,-1875,72831,72541,-2164,-8802,29815,21013
23,2006,Y,009150,31772,6210,1228,265,491,426,846,567,31,1311,255,0,1056,980,77,33686,10117,2920,4149,2274,23569,15667,120,15489,10729,1698,4921,4760,18197,17884,3880,10762,2739,313,3585,980,3911,2750,35,163,-1142,0,-4143,407,4550,4277,0,949,3294,2308,-37,348,1926,2274
24,2006,Y,090430,7873,5358,815,62,11,11,58,81,-32,811,250,0,561,561,0,11796,4555,1061,1187,1443,7242,6103,285,3817,2309,220,1477,1508,7979,7977,345,7127,561,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2006,Y,091990,6,4,-8,0,26,23,46,0,-92,-80,20,0,-100,-100,0,1058,86,0,3,57,972,1,5,1095,403,369,17,693,-37,-37,30,0,-68,0,-71,-100,99,0,1,46,-23,0,-834,70,905,0,0,961,1084,123,0,56,1,57
