,코드,종목명
280,068240,다원시스
281,095610,테스
282,005690,파미셀
283,044340,위닉스
284,131970,테스나
285,078160,메디포스트
286,033290,코웰패션
287,071320,지역난방공사
288,092040,아미코젠
289,230240,에치에프알
290,029960,코엔텍
291,004490,세방전지
292,230360,에코마케팅
293,001230,동국제강
294,008490,서흥
295,001120,LG상사
296,084370,유진테크
297,017810,풀무원
298,023890,한국아트라스비엑스
299,108230,톱텍
300,027410,BGF
301,038540,상상인
302,031390,녹십자셀
303,183490,엔지켐생명과학
304,148150,세경하이테크
305,008350,남선알미늄
306,265520,AP시스템
307,267270,현대건설기계
308,042000,카페24
309,272290,이녹스첨단소재
310,000070,삼양홀딩스
311,138080,오이솔루션
312,237880,클리오
313,006120,SK디스커버리
314,214450,파마리서치프로덕트
315,271980,제일약품
316,108670,LG하우시스
317,005880,대한해운
318,019680,대교
319,006390,한일현대시멘트
320,048410,현대바이오
321,034120,SBS
322,011160,두산건설
323,290510,코리아센터
324,019170,신풍제약
325,336260,두산퓨얼셀
326,243070,휴온스
327,043150,바텍
328,006730,서부T&D
329,024720,한국콜마홀딩스
330,263050,유틸렉스
331,200230,텔콘RF제약
332,074600,원익QnC
333,007570,일양약품
334,084680,이월드
335,145990,삼양사
336,001430,세아베스틸
337,281820,케이씨텍
338,122990,와이솔
339,025900,동화기업
340,101490,에스앤에스텍
341,298050,효성첨단소재
342,095660,네오위즈
343,002320,한진
344,126560,현대에이치씨엔
345,007460,에이프로젠 KIC
346,026890,디피씨
347,093050,LF
348,017960,한국카본
349,272450,진에어
350,081000,일진다이아
351,228760,지노믹트리
352,053210,스카이라이프
353,060980,한라홀딩스
354,002270,롯데푸드
355,030530,원익홀딩스
356,192650,드림텍
357,290650,엘앤씨바이오
358,319660,피에스케이
359,037560,LG헬로비전
360,060570,드림어스컴퍼니
361,293480,하나제약
362,097230,한진중공업
363,268280,미원에스씨
364,226320,잇츠한불
365,102710,이엔에프테크놀로지
366,015350,부산가스
367,068400,SK렌터카
368,025860,남해화학
369,072710,농심홀딩스
370,096760,JW홀딩스
371,003060,에이프로젠제약
372,025540,한국단자
373,048530,인트론바이오
374,017390,서울가스
375,298000,효성화학
376,014830,유니드
377,095720,웅진씽크빅
378,013120,동원개발
379,061970,엘비세미콘
380,089600,나스미디어
381,082920,비츠로셀
382,088800,에이스테크
383,166090,하나머티리얼즈
384,002960,한국쉘석유
385,052260,SK바이오랜드
386,267260,현대일렉트릭
387,038500,삼표시멘트
388,005500,삼진제약
389,006840,AK홀딩스
390,002210,동성제약
391,122900,아이마켓코리아
392,002240,고려제강
393,004690,삼천리
394,215000,골프존
395,322000,현대에너지솔루션
396,051370,인터플렉스
397,213500,한솔제지
398,100120,뷰웍스
399,016800,퍼시스
400,050890,쏠리드
401,249420,일동제약
402,012610,경인양행
403,009290,광동제약
404,047310,파워로직스
405,018290,브이티지엠피
406,086390,유니테스트
407,036930,주성엔지니어링
408,317330,덕산테코피아
409,084110,휴온스글로벌
410,300720,한일시멘트
411,228670,레이
412,104830,원익머트리얼즈
413,029530,신도리코
414,008730,율촌화학
415,040910,아이씨디
416,119860,다나와
417,036800,나이스정보통신
418,011280,태림포장
419,089030,테크윙
420,143240,사람인에이치알
421,182400,엔케이맥스
422,002390,한독
423,002780,진흥기업
424,000480,조선내화
425,053580,웹케시
426,144510,녹십자랩셀
427,288330,브릿지바이오테라퓨틱스
428,002990,금호산업
429,045390,대아티아이
430,263720,디앤씨미디어
431,023410,유진기업
432,078520,에이블씨엔씨
433,195870,해성디에스
434,039440,에스티아이
435,007810,코리아써키트
436,119610,인터로조
437,065660,안트로젠
438,308170,센트랄모텍
439,192440,슈피겐코리아
440,321550,티움바이오
441,005070,코스모신소재
442,002310,아세아제지
443,092730,네오팜
444,000140,하이트진로홀딩스
445,032190,다우데이타
446,282880,코윈테크
447,123860,아나패스
448,099190,아이센스
449,243840,신흥에스이씨
450,239610,에이치엘사이언스
451,052400,코나아이
452,200710,에이디테크놀로지
453,060150,인선이엔티
454,009680,모토닉
455,040350,큐로컴
456,003220,대원제약
457,004430,송원산업
458,003620,쌍용차
459,002840,미원상사
460,006490,인스코비
461,005720,넥센
462,017940,E1
463,220630,해마로푸드서비스
464,152330,코리아오토글라스
465,052710,아모텍
466,007340,디티알오토모티브
467,206640,바디텍메드
468,041830,인바디
469,080160,모두투어
470,054780,키이스트
471,140860,파크시스템스
472,052020,에스티큐브
473,033270,유나이티드제약
474,032620,유비케어
475,078600,대주전자재료
476,004380,삼익THK
477,236200,슈프리마
478,002810,삼영무역
479,051500,CJ프레시웨이
480,025770,한국정보통신
481,189300,인텔리안테크
482,293780,압타바이오
483,058650,세아홀딩스
484,033500,동성화인텍
485,234340,세틀뱅크
486,003920,남양유업
487,015750,성우하이텍
488,234080,JW생명과학
489,034950,한국기업평가
490,080420,모다이노칩
491,222800,심텍
492,002150,도화엔지니어링
493,111710,남화산업
494,035810,이지바이오
495,179900,유티아이
496,016580,환인제약
497,004700,조광피혁
498,214870,뉴지랩
499,138250,엔에스쇼핑
500,000050,경방
501,244460,올리패스
502,017890,한국알콜
503,183300,코미코
504,232140,와이아이케이
505,087010,펩트론
506,101060,SBS미디어홀딩스
507,003560,IHQ
508,073490,이노와이어리스
509,344820,케이씨씨글라스
510,001880,삼호
511,063570,한국전자금융
512,016450,한세예스24홀딩스
513,037710,광주신세계
514,030520,한글과컴퓨터
515,089980,상아프론테크
516,039560,다산네트웍스
517,183190,아세아시멘트
518,004710,한솔테크닉스
519,066700,테라젠이텍스
520,009460,한창제지
521,125210,아모그린텍
522,001520,동양
523,025000,KPX케미칼
524,097780,에스맥
525,014620,성광벤드
526,009580,무림P&P
527,089010,켐트로닉스
528,023160,태광
529,229640,LS전선아시아
530,053030,바이넥스
531,016590,신대양제지
532,050110,캠시스
533,031440,신세계푸드
534,065130,탑엔지니어링
535,038290,마크로젠
536,054620,APS홀딩스
537,003120,일성신약
538,161580,필옵틱스
539,121800,비덴트
540,002620,제일파마홀딩스
541,005810,풍산홀딩스
542,031330,에스에이엠티
543,070960,용평리조트
544,007690,국도화학
545,136480,하림
546,161000,애경유화
547,078150,HB테크놀러지
548,049070,인탑스
549,042520,한스바이오메드
550,074610,나노메딕스
551,036530,S&T홀딩스
552,102940,코오롱생명과학
553,092130,이크레더블
554,012690,모나리자
555,001360,삼성제약
556,143160,아이디스
557,298690,에어부산
558,166480,코아스템
559,222080,씨아이에스
560,086980,쇼박스
561,001130,대한제분
562,272550,삼양패키징
563,067280,멀티캠퍼스
564,010170,대한광통신
565,005420,코스모화학
566,226950,올릭스
567,049950,미래컴퍼니
568,225570,넷게임즈
569,131390,피앤이솔루션
570,174900,앱클론
571,255440,야스
572,300120,라온피플
573,093320,케이아이엔엑스
574,000970,한국주철관
575,137400,피엔티
576,256630,포인트엔지니어링
577,123690,한국화장품
578,176440,에이치엔티
579,102460,이연제약
580,041140,넥슨지티
581,086820,바이오솔루션
582,215360,우리산업
583,064260,다날
584,002100,경농
585,059090,미코
586,082800,루미마이크로
587,228850,레이언스
588,079980,휴비스
589,084690,대상홀딩스
590,003070,코오롱글로벌
591,251370,와이엠티
592,015360,예스코홀딩스
593,036030,KTH
594,015860,일진홀딩스
595,216050,인크로스
596,003300,한일홀딩스
597,068290,삼성출판사
598,000430,대원강업
599,067990,도이치모터스
600,001940,KISCO홀딩스
601,029460,케이씨
602,035890,서희건설
603,095270,웨이브일렉트로
604,002030,아세아
605,079430,현대리바트
606,018120,진로발효
607,208340,파멥신
608,194700,노바렉스
609,159580,제로투세븐
610,155650,와이엠씨
611,023900,풍국주정
612,131370,알서포트
613,214420,토니모리
614,011040,경동제약
615,104480,티케이케미칼
616,095570,AJ네트웍스
617,003570,S&T중공업
618,092230,KPX홀딩스
619,007820,에스엠코어
620,101530,해태제과식품
621,089970,에이피티씨
622,065620,제낙스
623,065950,웰크론
624,027050,코리아나
625,065530,전파기지국
626,045970,코아시아
627,003580,넥스트사이언스
628,207760,미스터블루
629,238090,앤디포스
630,123040,엠에스오토텍
631,000020,동화약품
632,005390,신성통상
633,302550,리메드
634,299660,셀리드
635,013030,하이록코리아
636,298040,효성중공업
637,011760,현대상사
638,110790,크리스에프앤씨
639,200670,휴메딕스
640,290670,대보마그네틱
641,095340,ISC
642,214390,경보제약
643,033920,무학
644,109740,디에스케이
645,053610,프로텍
646,035620,바른손이앤에이
647,036200,유니셈
648,102260,동성코퍼레이션
649,121600,나노신소재
650,057500,SKC 솔믹스
651,046440,KG모빌리언스
652,104700,한국철강
653,099320,쎄트렉아이
654,067290,JW신약
655,136490,선진
656,002020,코오롱
657,067080,대화제약
658,091810,티웨이항공
659,001530,DI동일
660,085370,루트로닉
661,216080,제테마
662,045100,한양이엔지
663,036630,세종텔레콤
664,126700,하이비젼시스템
665,067390,아스트
666,009160,SIMPAC
667,067170,오텍
668,067900,와이엔텍
669,245620,EDGC
670,136540,윈스
671,115180,큐리언트
672,004360,세방
673,201490,미투온
674,033160,엠케이전자
675,044450,KSS해운
676,251970,펌텍코리아
677,045520,크린앤사이언스
678,025320,시노펙스
679,206560,덱스터
680,068930,디지털대성
681,001780,알루코
682,306040,에스제이그룹
683,001790,대한제당
684,206650,유바이오로직스
685,175250,아이큐어
686,002170,삼양통상
687,023910,대한약품
688,077500,유니퀘스트
689,067310,하나마이크론
690,028100,동아지질
691,123420,선데이토즈
692,096630,에스코넥
693,035510,신세계 I&C
694,063160,종근당바이오
695,267850,아시아나IDT
696,144960,뉴파워프라즈마
697,031980,피에스케이홀딩스
698,019210,와이지-원
699,033240,자화전자
700,214180,민앤지
701,036810,에프에스티
702,077360,덕산하이메탈
703,180400,캔서롭
704,043610,지니뮤직
