,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,201509,CY,005930,2000681,767016,255591,108511,101924,7117,18093,15565,3602,268308,56474,0,211835,207380,4455,9359319,4707046,785896,1144545,767104,4652272,3355421,212147,2455590,2004074,369583,1179286,451516,6903727,6659811,35900,176156,6992572,243918,331110,211835,319685,189925,12319,44487,-109539,-46383,-209336,81248,290585,276808,0,-69429,15951,53918,-31464,56043,711061,767104
1,201509,CY,000660,195298,89527,60144,9255,8790,1137,6262,5156,257,61973,11209,0,50764,50765,-2,1120820,393426,66398,149077,19398,727395,621413,58760,338582,215854,34334,128156,122728,782239,782249,146308,165748,475944,-10,80979,50764,54957,35906,2189,1430,-11097,-12215,-69644,-62532,7112,64278,0,-10191,48090,56097,-2184,1330,18068,19398
2,201509,CY,207940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,201509,CY,035420,31079,31079,7526,918,564,55,721,856,-23,7721,2664,-7,5052,5075,-22,149252,86772,793,17077,31598,62479,35495,6057,68524,51452,13266,18810,17072,80728,80656,660,5324,110367,70,9048,5052,5869,1402,126,762,1623,-2735,-7803,-3221,4581,1490,0,-940,2719,3428,-230,556,31041,31598
4,201509,CY,051910,205382,35215,17031,1537,2164,640,4676,6553,263,14788,4280,0,10509,10527,-19,730688,328328,98740,135145,48494,402359,353785,20250,229857,191972,73890,93989,37883,500832,495739,14780,46312,436534,5092,26358,0,17972,11929,399,986,-980,-4435,-15965,12733,28697,15316,0,-11020,719,8643,-3094,-198,48691,48494
5,201509,CY,005380,907682,185286,67185,8661,7941,2645,12696,15010,19668,85260,18899,0,66361,64432,1929,6084611,1695201,350804,337309,255903,2603869,1002679,157598,3508141,1464043,298292,606096,2044098,2576472,2374247,59560,165455,2260396,202225,-4790,66361,116063,19141,7471,22577,-149675,-14959,-65748,139125,204874,78547,0,56764,273981,204986,-12232,-15482,271385,255903
6,201509,CY,068270,5351,3466,2269,91,586,383,36,529,2,1283,82,0,1201,1174,26,99836,37110,9595,20420,5260,62724,36057,25230,39400,26119,11265,3104,13281,60436,56248,4361,19480,34992,4188,450,1201,2096,304,502,113,-2555,-176,-1547,677,2241,469,16,1201,5007,3481,-327,107,5153,5260
7,201509,CY,006400,76176,14246,772,1576,1653,522,9643,10117,3142,3362,887,-1195,1283,1264,19,646515,146181,29333,42990,27111,500336,135929,51244,177830,105391,27676,56091,72440,468685,458000,14268,201304,193094,10685,6124,1283,16346,5306,1325,13227,2433,-710,-3915,531,4446,6309,0,182,7506,6622,-703,2631,24480,27111
8,201509,CY,012330,348149,50729,30187,2870,4574,329,4566,2997,12707,42759,11632,-1152,29975,30237,-262,1617513,766757,99253,239176,142217,841598,232857,37099,647593,421553,59389,212749,135109,969921,965651,19644,55344,917267,4270,17259,29975,30503,4595,635,18236,-20479,-4503,-19544,21496,41039,36866,0,2288,4865,-346,-2923,1423,143292,144716
9,201509,CY,028260,76382,17742,1913,169,789,671,32949,4122,-638,29484,1323,0,28161,28221,-59,659396,185039,27796,102869,30268,474356,116027,36661,335035,162861,26694,66248,172173,324361,311752,596,117656,127191,12610,1384,28161,7871,1892,0,32120,-536,-1990,24062,28614,4553,1898,0,-2350,-27443,-25129,-37,23225,7042,30268
10,201509,CY,051900,51756,29668,6478,90,375,349,499,638,55,6107,1571,0,4538,4447,90,161935,54904,16860,19593,16664,107033,45460,54476,88040,48888,4897,25413,39153,73895,70982,3544,3892,72839,2913,5003,4538,3811,1097,159,316,-1051,-1978,-2821,448,3271,2329,0,-1642,3152,4111,-683,581,16083,16664
11,201509,CY,017670,170464,170464,17962,1312,3700,3046,290,2742,9659,22779,5521,0,17258,17239,19,1123658,210654,11176,126072,36682,913005,413958,170671,510892,212863,20833,135487,298028,612769,595433,1784,116636,573663,17334,40215,17258,41985,29731,0,10838,-5089,-3101,-30131,8660,38792,26192,0,-10823,10625,14593,-6853,-689,37371,36682
12,201509,CY,005490,609713,70124,28339,26695,41185,8137,5900,12880,-4963,1906,6064,0,-4157,-1975,-2182,3367221,1275324,389520,505990,173041,2091897,1401007,270526,1571061,885846,381621,276805,685216,1796161,1653806,19296,46449,1629570,142355,73099,-4157,82616,28555,3798,15438,23702,-13622,-44492,100945,145438,27520,0,-15591,17292,23914,-8970,14003,161244,175247
13,201509,CY,035720,7898,7898,2120,213,2,-1,190,32,-16,2473,339,118,2252,2213,39,114355,31682,96,4391,15621,82673,8375,69393,13602,10275,15,5558,3327,100753,99850,1189,90410,8800,902,2875,84,600,318,152,431,88,-33,-1292,681,1973,359,0,474,483,60,50,2067,14418,15621
14,201509,CY,000270,484316,94695,23404,3763,3783,567,7442,8354,9497,31969,5609,0,26360,26360,0,1730155,706118,279099,122866,92310,1024037,446610,77314,808419,537346,61396,395707,271073,921737,921737,85572,69444,784878,0,36180,26360,39758,9831,4498,12323,-16138,-1477,-50408,26076,76484,36050,0,9178,19611,6392,-4041,-4906,97216,92310
15,201509,CY,015760,591711,116003,95376,16819,36689,21256,93783,3740,2238,167786,44601,0,123185,121874,1310,6755889,770616,189723,273651,138755,5985273,5526674,32109,4418002,970789,24523,212702,3447215,2337886,2288761,128392,80741,1554869,49125,155650,123185,181604,81489,730,101504,-17405,-30230,-114908,97692,212600,145227,0,-24222,66381,86473,-4131,16892,121864,138755
16,201509,CY,036570,8364,6404,2500,201,13,0,277,252,-4,2710,845,0,1864,1857,8,81059,40419,22,4026,11837,40641,9507,3698,15866,12445,3,4473,3421,65192,64490,440,15476,49758,702,2354,1864,1616,284,68,410,-112,-604,-3077,6088,9164,138,0,3228,3920,4,-687,2649,9189,11837
17,201509,CY,034730,173584,1564,7115,9017,11320,2041,54797,6792,1125,53938,2700,0,51238,50109,1130,1140177,334447,67030,137950,94871,805730,408958,101650,649773,271882,30399,152273,377889,490406,211486,454,59646,169708,278919,25710,51238,28246,7503,1670,63788,15908,-5894,77486,84004,6518,7165,0,-18594,7423,24460,-1556,84421,10451,94871
18,201509,CY,018260,79178,12998,6011,1083,576,19,449,401,20,6586,1950,0,4636,4380,256,232739,137415,1300,59676,31044,95325,47694,41109,58540,48269,202,32075,10272,174198,169294,1548,51900,126886,4905,7558,4636,7222,2676,1201,456,-2733,-1111,-8814,-28,8786,4320,0,-504,-1,92,-412,-1497,32541,31044
19,201509,CY,003550,101260,16521,11851,301,978,806,655,669,0,11162,1517,-12,9633,9607,26,699518,153500,14991,92727,28881,546018,98899,5039,187256,108683,7670,76891,78574,512260,499285,35176,94478,374389,12975,8342,9633,6841,2825,295,7266,-736,-131,-3796,6022,9817,1161,0,-2424,16250,16889,-1785,2153,26737,28890
20,201509,CY,033780,43537,25381,13892,662,112,111,1771,1739,80,14555,4110,0,10445,10503,-58,310501,187437,75495,43986,17362,123065,70951,6097,77946,54323,5311,40650,23623,232555,229614,38200,19469,189563,2941,11610,10445,7754,1511,109,2038,-655,-3895,-7847,674,9055,3440,535,-3836,6209,5694,-4351,-63,17425,17362
21,201509,CY,096770,535938,31907,12512,27988,33062,2711,2404,2054,2562,10351,4729,-427,5194,4650,545,1354096,563393,194748,209732,116921,790704,586683,80068,686434,384224,67451,255782,302210,667663,624040,18744,235635,367020,43622,41521,5194,28907,7964,1366,13089,25244,-4734,-951,11310,12261,5817,0,-33674,6571,40246,-1,8046,108875,116921
22,201509,CY,066570,564240,126990,11004,5304,8373,4201,19701,27194,5018,5460,1824,-1797,1839,687,1151,1512490,720855,229750,340155,98165,791634,421194,56000,988952,630382,53211,401077,358571,523538,470579,36168,116908,363539,52959,18533,1839,46600,15032,4083,5513,-17140,-7252,-21006,4330,25337,18686,0,2170,-3291,-6441,-980,117,98049,98165
23,201509,CY,009150,56035,12943,3784,199,297,298,13365,4797,99,12355,1913,-4468,5974,5858,116,307345,133479,31438,40587,37274,173866,123671,3828,127451,78062,27720,36020,49389,179894,176064,15520,41808,99436,3832,6337,5974,15194,5821,154,12785,265,-2310,740,20120,19460,10921,79,13,8245,7241,-993,7883,29392,37274
24,201509,CY,090430,45197,33864,7388,226,31,26,597,688,0,7494,1902,0,5592,5505,86,165383,65907,12248,12209,17494,99475,70730,7697,41009,30689,1157,13725,10319,124373,123422,1380,28820,94398,950,6763,5592,3267,1361,0,150,-3,-1943,-5540,278,5819,2591,0,-688,0,46,-641,568,16926,17494
25,201509,CY,091990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,201509,CY,010130,48076,8903,7380,645,550,21,536,564,-61,7385,1865,0,5519,5471,49,229871,107240,46938,11981,10442,122631,90618,2673,31880,18994,3609,10403,12886,197990,191725,3776,2292,183757,6267,7780,5519,4314,1714,1,652,-105,-1298,-4360,9426,13787,5166,0,-2199,-2187,-1152,-1164,1308,9134,10442
27,201509,CY,010950,202107,12059,6164,1613,4180,426,4975,4477,96,4192,954,0,3239,3239,0,421863,236908,96074,66509,24761,184955,176059,1907,212312,153928,79179,67955,58384,209552,209552,11660,53260,143685,0,26898,3239,7952,2778,94,2693,19619,-1218,-20061,635,20694,8569,0,-9708,-889,7535,-1283,-2869,27631,24761
28,201509,CY,251270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,201509,CY,009540,491436,18792,-13077,19139,38839,2628,19342,454,-397,-14286,-3979,0,-10308,-10262,-46,2110985,1177699,210820,539330,118256,933285,642584,87126,1461146,1051434,322238,543775,406271,649839,590904,15200,45305,555551,58935,-12948,-10308,51569,9529,1051,35417,-17915,-877,4236,25565,21329,11704,0,22677,275269,252437,-159,14215,104138,118256
30,201509,CY,011170,125083,18099,13583,1652,2495,736,1928,2701,-159,11810,4180,0,7629,7652,-24,430212,192609,52573,48314,49235,237603,155616,1112,154740,88101,21851,32898,66638,275471,274216,6856,19060,245810,1256,22618,7629,12981,4847,32,1919,5244,-1317,-14337,-473,14760,2966,896,-4479,29056,32410,-1124,3915,45320,49235
31,201509,CY,030200,209369,209369,9450,4081,8889,4168,4831,5457,86,4105,1524,2282,4863,4341,523,1308704,418775,16603,230998,87161,889927,591081,129229,824448,413432,26279,265071,411015,484255,429125,62580,57612,357037,55131,43845,4863,55679,31519,6192,10023,-2868,-3806,-23141,19173,42312,31535,0,-12381,75660,87623,-416,8291,78871,87161
32,201509,CY,032640,106179,106179,7098,381,2457,1991,922,690,3,5257,1287,0,3970,3972,-4,474155,99694,12085,67927,13360,374463,286456,42425,303075,126926,600,83595,176150,171080,171057,102960,33484,34526,23,21795,3970,21356,14238,1739,787,-640,-2104,-17944,1275,19219,16703,0,-3411,15765,18520,-655,439,12921,13360
33,201509,CY,018880,55181,8526,3338,90,326,143,1094,1009,130,3317,948,0,2368,2221,146,131425,76195,15662,38964,16478,55230,41632,7272,64132,50483,8842,39281,13650,67294,65000,2136,-924,68130,2294,3465,2368,3877,1679,37,431,-1575,-775,-2427,390,2817,2428,0,-1203,1862,1913,-1151,38,16440,16478
34,201509,CY,002790,53900,39871,8516,363,33,28,930,1107,11,8683,2346,0,6338,2398,3940,232395,93557,14850,13306,22328,138838,83944,28487,48925,35261,1709,15166,13664,183470,96729,1780,27824,73123,86739,8017,6338,4791,1736,0,807,-84,-2219,-5953,620,6585,3404,13,-762,0,46,-716,1336,20992,22328
35,201509,CY,034220,292300,48801,21907,1432,3181,1255,13084,14440,116,18917,4655,0,14262,13585,677,916907,382179,108549,148802,38797,534728,441257,25263,420591,284672,2236,211052,135920,496315,477505,71564,90044,315105,18810,29836,14262,48375,30725,3882,1746,-25933,-5120,-29534,23312,53109,22838,262,-4726,7597,10535,-1789,-2667,41464,38797
36,201509,CY,021240,22268,15147,4164,15,59,58,302,392,0,4032,973,0,3061,3061,0,66526,24010,2509,9335,5578,42516,27186,6793,24464,21582,6461,10728,2882,42062,42026,1628,5075,39859,36,5630,3061,4636,2175,78,214,-1030,-822,-3355,198,3569,3362,17,-2647,-716,393,-1539,-393,5971,5578
37,201509,CY,035250,16014,8632,5944,446,3,3,64,645,-195,5609,1650,0,3960,3962,0,137920,62298,41,994,4443,75623,54927,116,27676,25559,0,20668,2118,110246,110235,4280,5176,107738,12,5785,3960,3143,740,8,456,294,-1157,-3258,19568,22824,551,0,-1723,0,0,-1723,804,3639,4443
38,201509,CY,086280,145165,10898,6768,192,431,431,4449,6151,472,5300,2003,0,3296,3301,-4,273313,144552,29182,74484,30457,128761,96820,2428,157892,98856,37721,52183,59036,115421,114927,752,6144,105251,493,5535,3296,6490,1119,78,1430,-1167,-1653,-5550,78,5631,2747,0,395,1516,372,-750,436,30021,30457
39,201509,CY,267250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,201509,CY,000720,184940,14279,8507,2168,1955,1068,3007,4636,-96,6993,2121,0,4872,3223,1649,756259,558247,50234,330021,94257,198011,68886,34971,475391,332398,14428,204357,142993,280868,219979,22292,41166,156549,60889,6493,4872,10180,1247,538,3484,-2509,-2565,-8118,5498,13617,2030,0,1185,19739,17475,-1080,-419,94677,94257
41,201509,CY,097950,127313,28489,8116,2294,5295,1970,740,2387,108,3574,1180,0,2394,1809,585,541704,164777,43485,67668,22302,376929,257582,69921,338255,170440,65832,49864,167814,203450,121976,2894,36716,90749,81475,11314,2394,12079,3777,955,2587,93,-665,-5731,1884,7791,5208,176,-3125,11849,12922,-2052,2511,19790,22302
42,201509,CY,271560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,201509,CY,078930,120762,22836,10194,658,2586,499,1720,2348,0,7637,6491,0,1147,798,348,660656,98175,11550,40514,31374,562480,203566,63236,360985,96876,24646,40895,264109,299671,242827,18940,51354,269950,56843,6666,1147,17712,0,0,5544,-387,-6260,-27370,12884,40253,16783,0,20590,23692,1714,-1387,-238,31611,31374
44,201509,CY,028300,358,55,-36,7,34,27,2,-4,-3,-59,0,-15,-74,-63,-13,3357,1405,299,234,502,1952,486,1226,1081,887,308,216,194,2275,2154,645,2311,-204,120,-30,-74,70,15,2,19,-8,1,-395,44,439,23,0,523,967,444,0,98,419,510
45,201509,CY,010140,95636,-8461,-14301,3125,3670,526,36856,36537,-13,-14537,-3260,0,-11277,-11214,-64,673583,399731,51486,205849,22248,273852,216039,4805,475036,364084,62129,206804,110952,198547,197234,46200,16940,170408,1314,-3048,0,21161,2700,234,14943,6933,-1662,-12016,1508,13522,6411,0,13411,29657,15734,-513,-1633,23881,22248
46,201509,CY,003670,12796,1161,582,70,86,25,31,46,-75,478,129,0,348,362,-15,28390,15092,2690,6338,3454,13296,5534,388,7806,5780,706,4480,2026,20582,20234,1180,948,18185,348,726,348,529,129,17,63,103,-192,326,1259,933,376,0,-110,245,252,-103,935,2519,3454
47,201509,CY,180640,6755,1533,745,65,221,221,1287,113,-562,1199,944,0,255,-571,826,95371,11873,80,1708,3488,83499,23799,390,33089,12544,3726,3145,20545,62282,55266,5316,42834,5908,7016,1088,255,4143,275,21,3312,91,-90,-974,-1085,-113,-10,0,63,576,193,-319,180,3308,3488
48,201509,CY,011070,63622,7899,2366,214,734,522,1295,1794,0,1348,572,0,776,776,0,169251,79774,13979,48367,15219,89477,71479,7381,99740,57350,1690,37562,42390,69513,69512,4732,45344,19285,0,6084,0,6810,4719,389,219,-1202,-651,-3316,95,3412,2741,0,-4441,2712,7094,-59,-1624,16843,15219
49,201509,CY,008770,32178,14940,923,110,319,280,211,308,0,617,369,0,248,248,0,81914,35928,20627,5445,8528,45986,28954,1258,52366,17362,0,13239,35003,29549,29549,8000,7864,13996,0,726,248,1600,623,108,131,-552,-439,-2236,62,2300,1203,2,1409,5041,3250,-382,-79,8608,8528
