,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,2015,Y,005930,2006535,771714,264134,105149,100318,7765,16859,37234,11019,259610,69009,0,190601,186946,3655,2421795,1248147,188118,285207,226367,1173648,864771,53963,631197,505029,111554,276731,126168,1790598,1728768,8975,44039,1851320,61830,400618,190601,352421,196625,12683,56311,-46820,-39273,-271678,74011,345689,258802,0,-65735,33979,68419,-31295,57960,168408,226367
1,2015,Y,000660,187980,82826,53361,8468,8299,1185,405,1489,246,52691,9455,0,43236,43224,12,296779,97600,19234,26863,11757,199179,169663,17049,82902,48407,1479,31675,34495,213877,213869,36577,41437,143590,8,93195,43236,53436,36952,2581,1422,8323,-10377,-71255,3043,74298,67746,0,-14623,39331,51769,-2184,7390,4368,11757
2,2015,Y,207940,913,-235,-2036,68,18412,27,27,8,45242,24881,5831,0,19049,19049,0,59605,1929,1192,370,345,57676,8903,143,31857,19117,101,572,12740,27748,27748,1378,10306,16015,0,-2655,19049,24830,327,89,45514,-960,-61,-4295,38,4333,2403,0,6332,7266,934,0,-618,963,345
3,2015,Y,035420,32539,32539,8302,672,530,57,630,826,-17,8232,2290,-772,5170,5187,-18,43859,26394,155,5266,8134,17465,8638,1033,21163,16837,4128,6890,4327,22696,21245,165,1331,30694,1451,8514,5170,5947,1425,135,872,634,-2365,-7859,1127,8986,1208,0,59,3469,3180,-230,909,7225,8134
4,2015,Y,051910,202066,36660,18236,1518,2345,581,5399,7422,110,15496,4011,0,11485,11530,-45,185787,86556,23386,33989,17049,99231,88672,5019,54752,47990,18397,22431,6762,131035,129915,3695,11578,115325,1121,31721,0,19572,12152,409,2518,1608,-2437,-16978,12115,29092,16334,0,-7575,1898,6379,-3094,7169,9880,17049
5,2015,Y,005380,919587,182574,63579,8314,7135,2592,12551,12022,19307,84594,19502,0,65092,64173,919,1653679,437519,91990,86149,73315,732796,286989,42981,984865,412135,93842,164603,572730,668814,620240,14890,35204,600351,48574,12484,65092,116620,19727,8213,21662,-134974,-12591,-80603,47830,128433,81417,0,72137,300732,215071,-13525,2350,70965,73315
6,2015,Y,068270,6034,3688,2590,95,407,297,45,694,2,1631,48,0,1583,1541,42,27482,10968,2338,6661,1499,16514,8976,6978,9384,6658,3247,658,2726,18098,16942,1124,6486,9940,1156,776,1583,2051,317,505,113,-2539,-207,-1669,641,2339,506,29,1304,3936,2280,-352,412,1088,1499
7,2015,Y,006400,49549,8401,-2675,1703,1914,344,8394,10007,2799,-1701,-392,1566,257,538,-282,162253,47739,7500,11413,12880,114514,32290,12776,49721,32013,5470,20208,17708,112532,110120,3567,50312,48531,2412,8811,257,14146,5331,1303,10840,6236,-989,1153,10334,9181,7259,0,-3547,4949,7775,-721,6604,6275,12880
8,2015,Y,012330,360197,51478,29346,2953,3545,340,4660,3856,12569,42127,11311,-415,30400,30554,-154,377748,159248,25623,63526,24979,218500,79467,9310,120986,82906,15645,56230,38080,256762,256218,4911,13927,248119,545,43519,30400,30261,4750,664,17794,4448,-3798,-49486,10436,59922,40798,0,1698,11233,6612,-2923,-4136,29114,24979
9,2015,Y,028260,133447,21460,371,1030,1558,1006,35103,5581,-1608,27757,901,0,26857,27468,-612,423614,125411,13860,72872,20664,298203,51343,18402,240475,150744,22865,67699,89731,183139,165017,191,100397,52109,18123,-623,26857,11096,2810,0,33603,-2117,-2856,23686,29197,5510,2595,0,-5274,2562,7799,-36,17617,3047,20664
10,2015,Y,051900,53285,31023,6841,76,357,329,485,661,63,6448,1744,0,4704,4604,100,42146,13311,4413,4364,3969,28835,12901,13803,20993,11595,827,6254,9398,21153,20373,886,973,20662,780,6378,4704,3974,1108,163,302,-161,-1837,-3470,492,3962,3017,0,-2315,2100,3739,-677,589,3381,3969
11,2015,Y,017670,171367,171367,17080,1039,3501,2977,309,2435,7861,20354,5195,0,15159,15186,-27,285814,51602,2736,30312,7689,234211,103713,42134,132073,52565,2600,33893,79508,153741,152511,446,29159,150076,1230,37781,15159,41360,29935,0,8858,-6857,-3022,-28805,9145,37950,24788,0,-9646,13752,16545,-6853,-655,8344,7689
12,2015,Y,005490,581923,65342,24100,25571,33871,7888,5490,14423,-5061,1808,2769,0,-962,1806,-2768,804088,291809,82252,108495,48702,512279,345229,64058,353385,201309,84158,61932,152076,450702,412353,4824,13836,405011,38349,76018,-962,73999,28367,3816,14377,27540,-10183,-45347,118940,164286,25602,0,-22416,30391,43905,-8903,8490,40221,48712
13,2015,Y,035720,9322,9322,886,299,37,8,252,260,-45,1095,308,0,788,757,31,31885,9701,54,1471,3972,22184,2191,18556,6030,3161,38,1185,2869,25855,25524,301,22742,2563,331,1622,0,1236,491,263,458,0,-251,-4142,601,4743,761,0,1972,2292,204,-116,-541,4512,3972
14,2015,Y,000270,495214,98677,23543,3596,2759,891,6571,8896,8949,31003,4697,0,26306,26306,0,459801,183908,76953,31213,11049,275893,130421,21338,217761,145795,15124,100610,71966,242040,242040,21393,17361,210391,0,33752,26306,37581,9693,4532,9856,-18361,-1918,-56138,7222,63360,39146,0,9064,21436,8331,-4041,-13735,24785,11049
15,2015,Y,015760,589577,135000,113467,11830,30155,20157,93070,3728,2074,186558,52394,0,134164,132891,1272,1752574,220253,49464,74615,37831,1532320,1413614,8584,1073149,227108,6037,47651,846040,679425,666345,32098,20411,481872,13080,169431,134164,186342,82691,723,98438,-23250,-29387,-97740,104587,202327,140499,0,-52066,43558,91361,-4263,19868,17963,37831
16,2015,Y,036570,8383,6356,2375,209,8,0,211,371,-20,2395,732,0,1664,1654,10,22192,10828,7,987,2481,11364,2338,642,4303,3375,0,949,927,17889,17695,110,4412,13304,194,2413,1664,1616,285,65,379,62,-549,-5169,7581,12750,177,0,3102,3911,123,-686,453,2028,2481
17,2015,Y,034730,392995,39168,14068,17406,20101,3536,56270,11411,6649,62881,5816,-1572,55493,53460,2033,966338,297651,56433,120718,69952,668687,394453,97494,565566,259193,27267,141707,306372,400773,125665,154,56785,78017,275107,45889,55493,55754,17132,4870,72159,15036,-8235,43299,87803,44504,22377,0,-22255,25656,46261,-1649,67492,2460,69952
18,2015,Y,018260,78535,12926,5883,960,620,19,503,256,22,6491,1793,0,4698,4390,308,63317,38453,167,17038,8568,24864,12289,11006,15548,13899,26,8401,1649,47769,45888,387,12975,34495,1881,8648,4698,7005,2673,1213,293,-1492,-1271,-7824,1567,9391,3618,0,-481,8,94,-395,401,8167,8568
19,2015,Y,003550,99654,16272,11386,346,1004,798,580,547,0,10761,1316,-8,9438,9442,-4,181234,41556,3435,24623,8704,139678,24713,1166,48152,27126,1685,20623,21025,133082,129755,8794,23617,98717,3327,8863,9438,6707,2816,275,7838,526,30,-3683,5067,8750,2630,0,-1452,18104,17770,-1785,3729,4975,8704
20,2015,Y,033780,41698,25392,13659,843,96,95,1188,1602,151,14144,3822,0,10322,10357,-35,86734,55709,21191,11997,5462,31025,17898,1054,23979,18717,2064,13842,5262,62755,62089,9550,4847,52318,666,12592,10322,7131,1511,108,1725,128,-3264,-7476,716,8700,2102,509,-3810,7055,6514,-4350,1298,4164,5462
21,2015,Y,096770,483563,41595,19796,22505,25706,2676,2259,4884,2570,16541,6566,-1299,8677,8149,527,313598,128422,35598,40300,30197,185177,139142,16631,143135,74940,3893,50194,68195,170463,158897,4686,58842,94496,11566,40857,8677,32518,8032,1483,10672,15605,-5270,-13454,10842,24296,4488,0,-27683,10149,37832,0,811,29386,30197
22,2015,Y,066570,565090,128739,11923,5426,9031,4522,18816,24798,3595,5931,3402,-38,2491,1244,1247,363139,163976,48727,77021,27102,199163,104603,14733,233304,147728,9100,114474,85576,129835,116266,9042,29227,90165,13569,26188,2491,46731,15140,4187,4117,-11633,-7285,-19332,5620,24952,17473,0,-1889,19812,20611,-1090,4658,22444,27102
23,2015,Y,009150,61763,13116,3013,189,354,354,3160,2411,70,3668,446,-3016,206,112,95,72695,27300,6790,8248,10353,45395,32984,912,29541,17683,6911,7214,11858,43154,42221,3880,10452,24455,933,5371,206,8525,4780,161,2298,1613,-2675,-2212,10541,12832,11962,79,303,9139,7798,-1038,3472,6880,10353
24,2015,Y,090430,47666,35972,7729,255,31,31,435,606,0,7783,1935,0,5848,5775,73,44431,18332,3239,3319,6872,26099,18706,2116,10708,8719,247,5039,1989,33723,33456,345,7205,26231,267,6275,5848,3936,1469,0,230,-1673,-1605,-2169,1233,3402,2153,0,-694,10,78,-627,3446,3426,6872
25,2015,Y,091990,4024,1497,1119,1504,1793,565,575,39,0,1366,1160,0,206,206,0,15755,15125,13993,621,369,631,2,10,10758,7003,94,6452,3756,4997,4997,28,13236,-7767,0,320,206,3001,2,0,1524,-1059,-304,-4,0,4,0,0,-9,669,679,0,324,44,369
26,2015,Y,010130,47714,8420,6722,612,437,18,572,533,-90,6845,1705,0,5140,5094,46,59079,25379,10152,3081,2395,33700,24281,708,6886,3900,203,2501,2985,52194,50773,944,573,48649,1421,9449,5140,4202,1740,0,697,2163,-1359,-6508,6451,12959,4799,0,-2363,0,1198,-1164,641,1754,2395
27,2015,Y,010950,178903,14515,8176,1460,2535,358,4857,3929,98,8127,1814,0,6313,6313,0,107955,56898,15987,12731,2012,51057,47308,472,54056,32222,15825,15058,21835,53899,53899,2915,13315,37431,0,24756,6313,6697,2642,90,1867,14719,-1106,-28019,873,28892,6544,0,-1841,6989,7549,-1282,-5103,7115,2012
28,2015,Y,251270,10729,4845,2253,200,67,13,38,118,-19,2289,602,0,1686,1205,481,14584,4975,3,1287,2159,9609,257,4476,2777,2445,293,1346,331,11807,10592,15,9294,1212,1215,2243,1686,1070,72,154,102,-76,-335,-4784,5538,10322,187,0,3695,4049,323,-31,1166,993,2159
29,2015,Y,009540,463176,15027,-15849,18882,29127,2186,11972,4109,-369,-18600,-4843,0,-13758,-13499,-259,494691,270965,44664,118166,30681,223726,160272,21399,340430,230652,65311,122760,109778,154261,137366,3800,11249,128192,16895,-6374,-13758,44159,9454,1066,27268,-9277,-231,-1386,22661,24047,12724,0,6127,256526,250189,-210,-1611,32292,30681
30,2015,Y,011170,117133,20670,16111,1454,2046,699,1799,2871,-234,14214,4307,0,9907,9925,-19,114678,54055,11627,10163,19422,60623,39649,376,39122,21461,4448,10106,17661,75556,75248,1714,4765,67393,308,25956,9907,12503,4848,28,1542,7391,-2302,-12735,884,14382,3554,763,-3339,30340,32641,-1038,9929,9493,19422
31,2015,Y,030200,222812,222812,12929,2729,6453,3859,4882,6953,61,7195,2292,1411,6313,5530,783,293412,85832,5254,48846,25595,207580,144789,25998,171757,86399,1748,62739,85358,121655,108451,15645,14431,90593,13204,42300,6313,54546,30308,6092,8719,-6347,-3493,-24019,18012,42030,31157,0,-11640,56875,68100,-416,6708,18887,25595
32,2015,Y,032640,107952,107952,6323,411,2245,1879,901,718,-12,4659,1147,0,3512,3514,-2,119510,25992,3648,17138,2921,93518,72238,9666,75026,33542,150,22676,41484,44484,44480,25740,8371,10358,5,17929,3512,21119,14341,1748,774,-3608,-2320,-15107,1325,16432,13754,0,-4061,13381,16787,-655,-1238,4159,2921
33,2015,Y,018880,55581,8611,3596,98,264,135,1143,1241,126,3457,1023,0,2434,2305,129,34594,19935,3822,10461,4471,14658,10927,2074,16599,14309,3346,10176,2290,17994,17447,534,-231,18296,547,4475,2434,4168,1698,41,690,-596,-840,-2559,173,2732,2269,0,-1118,2923,2962,-1080,658,3813,4471
34,2015,Y,002790,56612,42462,9136,376,34,34,599,876,14,9216,2477,0,6739,2604,4135,61480,25379,3933,3543,10032,36100,22116,7309,12602,9785,462,5357,2817,48878,25327,445,6956,19481,23551,7365,6739,4857,1889,0,526,-1736,-1970,-833,3205,4051,2778,13,-707,87,78,-716,5860,4172,10032
35,2015,Y,034220,283839,43143,16256,1588,3162,1276,12738,13268,188,14340,4105,0,10235,9666,569,225772,95316,23517,42037,7517,130455,105460,8387,98722,66067,0,49280,32655,127050,121930,17891,22511,81585,5120,27266,10235,45655,29694,4065,2041,-21662,-4921,-27319,27697,55272,23650,256,-1745,13031,12987,-1789,-1382,8898,7517
36,2015,Y,021240,23152,15864,4633,14,43,43,244,304,0,4545,1113,0,3431,3431,0,17754,6533,698,2834,1163,11221,6995,1688,5372,4729,800,2586,643,12382,12374,407,1275,11770,9,5128,3431,4613,2201,76,129,-1953,-834,-3295,224,3536,3293,16,-2134,237,844,-1527,-311,1474,1163
37,2015,Y,035250,16337,8741,5954,428,3,2,37,480,3,5939,1523,0,4416,4416,0,36908,17504,16,278,1057,19404,13536,25,6930,6646,0,5397,284,29978,29975,1070,1294,29353,3,5750,4416,2663,736,7,438,218,-1111,-3989,17033,21022,404,0,-1723,0,0,-1723,37,1020,1057
38,2015,Y,086280,146712,11160,6980,198,498,498,4284,5506,467,5926,2158,0,3768,3770,-2,74785,37176,7719,16985,6761,37609,28821,724,43817,25938,10514,12515,17880,30968,30966,188,1536,28368,1,7831,3768,5982,1202,87,1126,731,-1524,-8478,70,8548,3959,0,-37,933,221,-750,-778,7539,6761
39,2015,Y,267250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2015,Y,000720,192332,17250,10893,2058,2513,1031,2515,3979,6,8981,2344,0,6638,4210,2428,193501,142284,13286,79804,19974,51217,17542,8573,119595,85753,1985,55297,33842,73906,57203,5573,10397,40872,16703,5960,6638,11099,1241,717,3430,-6685,-1662,-11738,5709,17448,1865,0,307,14569,13170,-1091,-5450,25424,19974
41,2015,Y,097950,129245,28860,7514,2108,4742,1805,968,2413,213,3648,1111,0,2537,1893,644,137513,40185,10976,17708,5298,97328,66902,17373,83660,43357,14407,15843,40303,53852,31431,724,9228,23342,22421,11546,2537,12673,3945,891,3451,774,-987,-6930,2288,9405,6735,187,-3645,16270,17993,-1922,938,4360,5298
42,2015,Y,271560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2015,Y,078930,121795,28805,16043,595,2305,2148,1505,2748,0,13091,7202,-795,5093,4922,171,190230,19463,2827,8291,5067,170767,69443,19353,109252,23623,7069,11354,85628,80979,63209,4735,12800,76929,17770,6530,5093,16747,0,0,6703,-760,-7848,-29441,12652,42093,17766,0,22044,32204,8777,-1383,-731,5798,5067
44,2015,Y,028300,385,60,-60,9,37,28,1,51,243,106,0,-1,104,126,-22,1852,299,53,60,44,1553,111,1307,708,244,70,66,463,1144,847,172,717,99,297,5,104,117,15,2,258,40,1,-552,78,630,25,0,480,889,409,0,-64,108,44
45,2015,Y,010140,97144,-9616,-15019,2671,2773,431,26780,26271,-7,-14618,-2497,0,-12121,-12054,-67,173016,101105,14490,46849,9835,71911,55828,1017,130358,95701,19084,48359,34657,42657,42374,11550,4235,35935,284,6203,0,14470,2802,235,9331,18085,-2403,-10807,1331,12137,6082,0,11037,21325,9776,-513,6426,3408,9835
46,2015,Y,003670,12212,1123,560,55,60,23,20,36,-77,462,141,0,322,346,-24,7175,3874,714,1398,1612,3301,1449,86,1793,1329,0,994,464,5382,5302,295,237,4789,80,616,322,535,128,17,53,-35,-151,586,1269,683,286,0,-173,195,264,-103,1030,582,1612
47,2015,Y,180640,7223,1592,743,56,221,221,52,113,-2429,-1913,139,0,-2052,-2164,112,23150,3306,20,539,1211,19844,5807,90,8731,3662,900,1128,5069,14419,13223,1333,10673,208,1197,1194,-2052,3200,274,22,74,207,-87,-930,602,1533,72,0,-40,488,239,-290,231,980,1211
48,2015,Y,011070,61381,7727,2237,227,664,462,1307,1886,0,1221,270,0,951,951,0,39143,17889,3031,10848,3603,21254,16473,2070,21493,12955,36,8130,8538,17651,17651,1183,11336,5220,0,6784,0,6845,4429,395,335,-340,-607,-3062,181,3243,2615,0,-4085,2241,6266,-59,-362,3965,3603
49,2015,Y,008770,32517,14895,772,118,303,303,229,375,0,440,255,0,185,185,0,21767,10236,4706,1468,3258,11532,7356,300,14328,5828,99,3285,8499,7439,7439,2000,1966,3554,0,1220,185,1545,632,108,132,45,-423,-2040,72,2114,1110,2,2202,5140,2550,-389,1391,1867,3258
