,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,2005,Y,005930,806295,253779,75755,3619,6257,2182,21666,16947,3417,81253,12182,0,69071,76401,-7330,744618,333992,58649,145151,40828,410626,292762,6329,328544,249086,78079,120887,79458,416074,397075,8975,63385,373693,18999,133286,76401,100423,58658,1546,20481,-23058,0,-90456,92849,183305,115402,0,-32665,261627,285798,-8494,9532,31296,40828
1,2005,Y,000660,59579,24312,16137,1240,2406,1737,3831,4791,0,14011,-4501,0,18512,18483,30,106973,32002,5732,10707,9720,74971,62428,5988,44189,19224,1273,15784,24965,62784,62315,22565,3942,37905,469,28529,18483,17718,11827,519,2250,-5421,0,-22745,5669,28414,27569,0,-401,17564,17965,0,4979,4741,9720
2,2005,Y,207940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2005,Y,035420,4146,2510,1097,288,30,6,18,774,-10,588,452,0,136,183,-47,4056,2758,0,743,1670,1297,783,87,1670,1611,16,964,59,2386,2314,78,1207,1395,72,1290,183,1369,110,229,330,68,0,405,4755,4350,569,0,-336,0,335,0,1355,315,1670
4,2005,Y,051910,107848,19311,8408,668,1573,1229,1767,2042,-45,7182,1604,0,5578,4021,1557,72913,29159,11383,10675,6080,43754,42769,-2080,42218,27094,5750,12360,15124,30695,24350,3654,7783,13588,6346,9179,4021,11190,6535,330,1216,-4816,0,-6292,4393,10685,7201,0,-2880,8563,10343,-1100,801,5279,6080
5,2005,Y,005380,588306,128777,22914,11417,8997,5415,16327,13149,5388,33901,5705,0,28196,23238,4958,658913,249269,79767,54792,43978,299081,214480,23301,462509,300413,118553,121603,159233,196404,149224,14829,55919,88138,47180,44358,23238,59255,20856,4132,19540,-18595,0,-73121,99445,172566,38921,0,38830,313312,270441,-4041,12099,31880,43978
6,2005,Y,068270,359,70,33,1,6,5,3,1,0,30,4,0,26,26,0,336,169,16,121,22,167,158,0,158,92,51,37,66,178,178,20,62,96,0,18,26,38,33,0,0,-46,0,-100,24,123,107,0,92,104,11,0,10,12,22
7,2005,Y,006400,78828,11189,3083,658,460,305,1446,2186,179,2720,66,0,2655,2401,254,67006,27785,6019,11394,7375,39221,27595,807,20023,15032,3810,9851,4991,46983,45719,2407,12916,32528,1264,7564,2401,8390,6716,0,442,-2786,0,-3555,1286,4841,3631,0,-3897,6783,9589,-1092,-130,7505,7375
8,2005,Y,012330,92835,16093,8019,669,770,545,457,400,2733,10708,2341,0,8367,8336,31,66527,31570,8063,16549,5683,34957,14441,1654,36192,27311,4523,17948,8880,30335,29443,4329,2582,23320,892,3786,8336,2600,998,281,3370,-3780,0,-3685,1342,5027,3180,0,1012,6823,5811,0,1189,4494,5683
9,2005,Y,028260,13058,1569,1343,143,213,183,30,48,3,1258,331,0,927,927,0,34686,3682,187,1534,370,31004,12750,11,18116,3778,554,1748,14338,16570,16570,125,2749,6499,0,1517,927,542,356,0,20,68,0,-1236,3860,5096,677,0,-1443,23644,25087,0,-1162,1531,370
10,2005,Y,051900,10392,5667,717,11,58,28,493,149,-1,1012,287,0,725,721,4,6419,2582,870,1190,356,3837,3177,214,2831,2623,949,1481,208,3588,3535,886,973,1704,53,576,721,584,273,51,483,-246,0,-116,296,413,365,0,-387,4,257,-134,87,269,356
11,2005,Y,017670,107218,107218,26706,2937,2609,2535,779,1688,-509,25616,6933,0,18683,18730,-47,147048,45986,78,30587,3784,101062,46634,34529,63772,28634,10,16444,35139,83275,82186,446,29548,72676,1089,34041,18730,19772,16755,0,2411,-2050,0,-19382,6661,26043,14166,0,-14290,2393,9102,-7582,78,3706,3784
12,2005,Y,005490,263018,75346,60833,2415,1805,1493,5201,11958,197,54882,14824,0,40058,40115,-58,275073,116403,37926,33043,6534,158670,122717,4537,76404,58816,8598,21402,17588,198669,194801,4824,39914,161579,3868,54622,40115,24759,14871,1254,3369,-6882,0,-37423,147939,185362,33605,0,-15776,68940,77908,-6808,1718,4821,6539
13,2005,Y,035720,4018,1582,-163,53,110,102,111,57,-98,-266,120,0,-385,-338,-47,4354,2270,19,779,271,2067,584,957,3421,2477,0,1245,940,933,788,77,1216,-415,144,803,-338,970,247,280,54,225,0,-855,176,1031,234,0,135,456,321,0,56,215,271
14,2005,Y,000270,205647,36527,-181,1393,2630,1716,6240,3281,4444,5984,205,0,5780,5565,215,160345,70809,35561,15611,12333,89536,60982,8024,110742,83028,33116,43796,27714,49603,48351,18487,16002,15569,1251,-3378,5565,15882,4859,1754,8277,-16547,0,-10092,9666,19757,13715,0,15235,21177,4730,-1212,1498,10835,12333
15,2005,Y,015760,254447,54403,39217,3335,7474,6429,6868,4606,979,38317,13994,0,24323,24076,247,747367,70088,18277,25479,13962,677279,640061,8863,323990,71383,3347,24549,252607,423377,421906,32078,144211,246264,1471,76098,24076,69927,58477,0,6914,-10992,0,-66599,17062,83661,67188,0,-12434,73470,78618,-7286,-2705,16695,13990
16,2005,Y,036570,3388,2603,766,91,1,1,30,23,-18,846,146,0,700,667,33,4571,3243,30,409,305,1328,850,143,614,557,0,258,57,3957,3934,102,1434,2530,23,813,667,380,166,63,14,-220,0,-999,20,1019,764,0,24,93,70,0,-124,429,305
17,2005,Y,034730,10027,10027,942,70,278,245,29,37,2161,2888,776,0,2112,2112,0,14134,4704,18,2957,1595,9430,2457,0,9255,4892,1900,1897,4363,4879,4879,100,27,5324,0,1017,2112,1006,856,0,2163,62,0,-846,1304,2150,1868,0,1368,2640,1252,-20,1539,57,1595
18,2005,Y,018260,19730,4197,2084,85,131,71,176,131,49,2132,614,0,1518,1513,5,10638,7625,17,3732,3033,3013,1110,89,5695,4578,86,3066,1117,4942,4833,282,46,4584,109,2695,1513,1180,493,56,121,124,0,-1049,809,1858,447,0,-187,259,418,-28,1444,1589,3033
19,2005,Y,003550,620461,140069,32670,8190,15041,10897,15484,16004,-1875,23425,3068,0,20356,6018,14338,503594,208312,72484,73470,44195,295282,251306,14553,321360,212520,60588,104968,108840,182234,39579,8794,22475,9822,142655,66042,6018,83077,42957,5493,10760,-12292,0,-67901,41626,109527,79297,0,8862,150309,141447,0,7699,36496,44195
20,2005,Y,033780,26445,14461,7971,338,175,22,468,1182,-14,7406,2227,0,5179,5178,1,41163,23701,13473,3502,3489,17462,13367,82,6454,4038,668,2541,2416,34709,34477,9550,3000,25197,231,5319,5178,2335,1176,25,347,-1847,0,-2665,730,3395,1731,0,-2916,771,1314,-2373,-262,3751,3489
21,2005,Y,096770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2005,Y,066570,444451,101573,17120,2852,8723,5618,12287,12799,-1873,8864,-477,0,9341,6056,3286,331232,149893,57611,51253,29815,181339,157393,5584,219074,155477,51527,80212,63597,112158,60278,8002,25952,25808,51880,41832,6056,44325,26829,1847,4172,-4377,0,-55844,10161,66005,61781,0,16838,80645,61386,-2421,2653,27162,29815
23,2005,Y,009150,29148,4101,-426,221,501,449,915,1351,-52,-1194,-516,0,-678,-672,-6,31257,8686,2512,3780,1926,22572,14564,103,14213,8117,2044,3986,6096,17045,16774,3880,10762,1759,271,2934,-672,4928,3164,38,249,-1073,0,-2589,516,3105,2243,0,756,2792,1582,-454,1057,869,1926
24,2005,Y,090430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2005,Y,091990,2,-5,-17,0,17,8,134,0,-10,90,15,0,75,75,0,211,4,0,2,1,207,1,6,148,148,101,32,0,63,63,30,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2005,Y,010130,19107,2324,1717,513,440,344,364,862,1,1293,540,0,752,678,74,18722,9227,3519,1491,1017,9495,8114,71,10781,5978,1911,2997,4803,7941,7534,944,2855,3969,406,1316,678,1834,970,21,503,-693,0,-1758,5852,7610,1271,0,283,4763,4348,-133,-161,1178,1017
27,2005,Y,010950,124266,12961,9235,651,982,975,2402,2175,2,9132,2583,0,6549,6549,0,61149,41497,15649,13444,8603,19652,16161,37,35461,31089,9503,20298,4372,25689,25689,2915,8618,16675,0,4502,6549,2488,1825,2,609,-3927,0,5898,7218,1320,788,0,-4806,27206,26733,-5278,5594,3010,8603
28,2005,Y,251270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2005,Y,009540,139063,11371,3140,2094,2142,572,3360,2946,473,3978,1357,0,2622,1747,874,161955,85020,15390,33848,7595,76608,58016,2599,124158,116544,4699,23177,7614,37797,33209,3800,27490,6519,4588,16771,1747,10264,4352,442,4552,9313,0,-9759,32237,41996,4447,0,-4986,11431,15521,-896,2049,5546,7595
30,2005,Y,011170,53246,7993,6002,247,392,380,925,610,762,6933,1419,0,5515,5115,400,41142,18367,4938,5509,3976,22774,18400,87,17675,14441,624,9335,3233,23467,20884,1593,4731,14460,2583,13558,5115,4791,3892,61,975,4626,0,-3640,10344,13984,1209,0,-7485,4134,11300,-319,3194,782,3976
31,2005,Y,030200,171557,171557,24306,1972,7023,6165,3225,4819,-188,17473,4208,0,13265,10519,2746,246385,61308,3601,27560,15466,185078,150870,21332,142884,48214,1133,30240,94671,103501,78319,15610,13892,87529,25182,59859,10519,48405,32936,3455,3706,4640,0,-25230,13741,38971,28708,0,-37253,26325,56747,-6830,-2093,17559,15466
32,2005,Y,032640,35094,4809,3599,286,1350,914,379,151,0,2763,282,0,2481,2481,0,37655,10758,879,7305,1600,26897,15879,6322,25159,12955,0,7243,12204,12496,12496,13864,116,-1437,0,6199,2481,4726,3997,22,107,-902,0,-2990,4619,7609,3341,0,-1635,5239,6874,0,1574,25,1600
33,2005,Y,018880,14315,2446,972,85,29,10,294,96,0,1227,231,0,995,925,70,10270,5410,656,3127,967,4860,4702,34,3723,3146,98,2884,577,6548,5961,534,481,4955,586,1268,925,948,646,1,67,-539,0,-575,1132,1707,1662,0,-266,331,237,-360,427,541,967
34,2005,Y,002790,13512,9184,2189,223,45,18,312,156,-19,2503,809,0,1694,1636,58,14680,8011,1197,1420,1107,6669,6195,-764,4452,2604,85,1685,1848,10228,9976,556,4044,8599,252,1823,1636,1025,553,72,210,-628,0,-1438,2709,4148,889,0,-423,176,342,-257,18,1089,1107
35,2005,Y,034220,100756,9809,4697,506,1218,1049,3654,3950,-2,3687,-1483,0,5170,5170,0,136741,38461,6908,13345,15795,98280,91935,1593,59985,31388,3090,22502,28597,76756,76756,17891,22793,36087,0,21084,5170,19310,17469,454,698,-2698,0,-41979,5,41983,41662,0,23077,26936,3859,0,2182,13612,15795
36,2005,Y,021240,10081,6444,968,11,70,68,43,78,-15,860,251,0,609,609,0,7152,2732,422,636,186,4420,3698,237,3732,3542,698,1150,190,3420,3420,390,763,2337,0,2268,609,2243,1240,36,6,-578,0,-1856,296,2152,1975,0,-376,3267,3569,-73,177,9,186
37,2005,Y,035250,8470,4998,4167,220,0,0,29,251,0,4165,1174,0,2991,2991,0,15254,7004,3,73,463,8250,7567,1,2656,2408,0,1732,247,12598,12598,1070,1279,10436,0,3425,2991,547,361,0,5,-109,0,-2446,9440,11886,1367,0,-1066,0,106,-960,-87,550,463
38,2005,Y,086280,18158,1515,869,28,48,48,83,100,299,1131,331,0,800,800,0,7357,5584,679,2164,1945,1774,849,73,3610,3281,419,2271,328,3747,3747,188,1536,2005,0,564,800,116,48,31,309,-43,0,-292,8,300,108,0,829,1583,708,-45,1101,844,1945
39,2005,Y,267250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2005,Y,000720,45472,6142,4515,472,1382,1134,569,2018,7,2164,-1257,0,3421,3407,13,52404,30759,4638,16726,4276,21645,7075,14,39102,30010,2802,13739,9092,13302,12994,5472,7512,501,309,-534,3407,2642,184,3,242,-6342,0,-33,4122,4155,311,0,1294,9698,8401,-3,779,3497,4276
41,2005,Y,097950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2005,Y,271560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2005,Y,078930,221709,28963,10566,2282,2530,1917,4166,3240,264,11509,3447,0,8062,3797,4265,130685,58103,14605,30778,8015,72582,61688,-983,80539,55050,6383,40946,25489,50146,23106,4735,12933,6158,27040,12397,3797,9648,3728,399,2249,1201,0,-6814,5241,12055,7897,0,-1173,9910,10609,-474,4475,3540,8015
44,2005,Y,028300,65,14,-56,4,4,4,5,4,-1,-57,0,0,-57,-57,0,248,121,3,24,43,127,25,21,150,67,24,16,83,98,98,35,167,-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
