,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,2008,Y,005930,1212943,315320,60319,7344,6973,6703,90427,93717,8379,65778,6876,0,58902,55259,3643,1053007,489686,94926,198688,88146,563321,424963,7872,423767,322071,90266,191858,101696,629240,581170,8975,65889,554196,48069,133601,58902,142061,98555,2397,22105,-45258,0,-131284,60094,191378,140882,0,19342,55775,23278,-13155,29826,58320,88146
1,2008,Y,000660,68180,-5450,-19201,907,6470,4147,9437,32423,4,-47746,-299,0,-47447,-47196,-251,165762,27595,10921,8179,5269,138168,123626,4964,110500,52375,15544,23098,58125,55262,50902,23157,9290,13561,4360,-3759,-47447,59877,27783,1490,3629,-12559,0,-20377,8780,29157,28214,0,11710,21434,9724,0,-11754,17023,5269
2,2008,Y,207940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2008,Y,035420,13801,8047,5086,218,207,71,130,355,314,5185,1632,0,3694,3685,9,12192,7684,0,1965,4293,4508,2276,568,4868,3240,108,1516,1628,7324,6195,241,1941,8874,1130,3821,3553,1514,422,137,786,-460,0,375,4295,3920,1016,0,-2125,948,3073,0,3186,1107,4293
4,2008,Y,051910,145549,22553,13211,1331,1565,975,6139,7268,-3,11845,2668,683,9860,10026,-166,97356,42772,18477,16545,5143,54583,51857,-753,46829,32713,8161,13662,14116,50527,48897,4195,13145,30368,1630,9844,9860,10110,5667,245,2459,-7668,0,-8653,2838,11491,9054,0,-2410,6097,6838,-1670,-762,5905,5143
5,2008,Y,005380,797364,179068,30720,31398,19327,13142,33018,64430,3590,14970,4099,0,10926,8578,2348,1032058,387744,168560,81323,62182,402330,289183,34489,778539,480984,216281,159636,289917,253519,0,14890,58399,118419,62821,-8273,10926,91958,25878,8551,30059,-81098,0,-94283,51398,145681,49669,0,117184,368598,247377,-4036,18245,43937,62182
6,2008,Y,068270,837,476,308,201,77,66,67,328,5,176,26,-5,146,146,0,4993,776,248,196,3,4217,3510,392,2795,2203,156,154,592,2197,2197,533,1853,62,0,468,146,444,92,27,266,144,0,-769,155,924,574,0,195,886,690,0,-106,109,3
7,2008,Y,006400,53028,7313,1330,1397,409,376,8857,9273,83,1986,387,-1026,573,389,184,67688,25376,4198,6985,10091,42312,21558,781,19995,10926,2153,7467,9069,47693,45373,2407,13200,26846,2320,7782,573,12352,5900,84,4818,-324,0,-9887,3727,13614,5583,0,3541,4697,942,-214,2003,8088,10091
8,2008,Y,012330,138472,24566,12143,633,2907,696,4160,3269,1495,12257,1865,0,10391,10470,-79,104506,49208,10828,22177,14645,55298,23360,3881,51002,43050,14325,21806,7952,53504,53275,4423,3132,44483,229,9030,10391,4235,1800,670,1800,-3796,0,-9000,1179,10179,5078,0,7125,15520,7312,-1082,6612,8032,14645
9,2008,Y,028260,17902,2117,1783,250,119,119,58,195,16,1793,57,0,1736,1736,0,38025,4616,370,2613,670,33409,14496,8,16679,3804,0,2295,12875,21346,21346,125,2749,10459,0,1592,1736,849,488,0,110,-883,0,-1696,3781,5477,1692,0,216,868,651,0,112,558,670
